ObjectNumber,TextType,Description
1906.9.11                                 ,Gallery Label,"Jack Porter, a veteran of the War of 1812 who made a handsome living from Pennsylvania's coal mines, is surrounded by handmade objects, including a corncob pipe, a roughly-hewn wooden bench, and his wife's knitting. As a self-sufficient landholder and businessman, Squire Jack"" embodied an independent and enduring spirit that"
1906.9.15                                 ,Luce Center Label,"<p>Henry Elliott Johnston (1831-1884) was a Baltimore railroad executive and banker. He and his wife, Harriet, traveled frequently to Europe to build their art collection, and this bust was created on one of their trips to Rome. Like other wealthy Americans of the Gilded Age, the Johnstons hoped that America would one day compete with European art institutions. They anticipated that their private collection would contribute to that process by becoming part of –a national gallery of art.”</p>"
1906.9.16                                 ,Luce Center Label,"<p>In 1872, William Henry Rinehart visited Baltimore, where the Johnston family commissioned him to create four portraits, including marble busts of Henry Elliott Johnston and his wife, Harriet Lane Johnston, and full-length sculptures of their two children posing as Cupid. The statues of Henry Jr., age two, and James, age five, are identical except for the faces, and Rinehart only needed to make clay models of the boysê heads before returning to his studio in Rome. This allowed him more time to sculpt the boysê bodies from live models in his studio. Here, the young Henry appears unaware of his surroundings as he concentrates on stringing his bow. This creates a natural, unself-conscious sculpture that contrasts with the sentimental images of Cupid popular in Victorian society.</p>"
1906.9.2                                  ,Luce Center Label,"John Henry Brown chose to paint this miniature from a daguerreotype he made of United States president James Buchanan (1791-1868), and took great satisfaction in the likeness. James Buchanan Henry, the presidentês nephew and ward, later wrote a biography of his uncle, commenting that –The best likeness of him is a miniature portrait on ivory, by Brown of Philadelphia . . . Buchanan was tall---over six feet, broad shouldered, and had a portly and dignified bearing . . . his features [were] strong and well marked, [and] his eyes were blue, intelligent and kindly, with the peculiarity that one was far and the other near sighted, which resulted in a slight habitual inclination of the head to one side.”"
1906.9.4                                  ,Luce Center Label,<p>Henry Dexterês project to create a portrait gallery of the president and all the governors was long and arduous. He undertook extensive travel during a time of war and his working method involved creating multiple copies. The first step was modeling the portrait from life and casting it in plaster. He would later make a copy in marble for public display.</p>
1906.9.5                                  ,Luce Center Label,"<p>James Buchanan served many roles before he was elected the fifteenth president of the United States. This portrait was painted after his term as minister to Russia, but he also acted as a representative, senator, and secretary of state. Jacob Eichholtz's painting accurately depicts Buchanan, who often wore black suits and large white cravats. The future president appears composed and confident, but his slightly uneven eyes give him an intimidating stare. The portrait was owned by Buchanan and then given to his niece, Harriet Lane Johnston, who served as his official hostess at the White House during his administration.</p>"
1906.9.5                                  ,Luce Object Quote,He was
1909.10.1                                 ,Luce Center Label,"<p>In 1908, Leon Dabo's <i>Evening on the Hudson</i> won a prize from the National Arts Club. (Pancza, Leon Scott Dabo"
1909.7.21                                 ,Luce Center Label,"<p>Thomas Wilmer Dewingês paintings of elegant women evoked an exclusive world of beauty and refined taste. From 1885 until 1905, Dewing was a key figure in the artist colony at Cornish, New Hampshire, which included Augustus Saint-Gaudens and Abbott Thayer. They agreed that art and beauty offered a –higher life” for an age in which Darwinês theories challenged Christian beliefs and urban industrialization disrupted lifeês natural rhythms. <i>Summer</i> shows women in evening gowns theatrically posed in nature and conveys the –Cornishiteês” attitude that life should be a chain of beautiful moments. Every summer, Dewing orchestrated twilight picnics and participated in theatrical performances with fellow artists and writers in the woods of Cornish. (Pyne, <i>Art and the Higher Life: Painting and Evolutionary Thought in Nineteenth-century America</i>, 1996) </p>"
1909.7.21                                 ,Luce Object Quote,"<p>–. . . like Dewingês art, [his models] help to improve our taste and manners, render our costumes and surroundings more picturesque, and our life softer and more agreeable, in one word more beautiful.” Sadakichi Hartmann, –Thomas Wilmer Dewing,” <i>Art Critic</i> I, January 1894</p>"
1909.7.27                                 ,Luce Center Label,"<p>Childe Hassam lived in New York, but he also spent a good deal of time away from the chaos of urban life, painting landscapes and quaint villages in New England. (Pyne, <i>Art and the Higher Life</i>, 1999) In this painting of New Jersey's Navesink Highlands, he used quick brushstrokes to capture the effect of a cool spring breeze in the flickering leaves and ripples on the water. After he had chosen a frame for the piece he wrote to his patron William T. Evans that I am glad to say it looks as fine as anything anywhere in the world.""</p>"""
1909.7.28                                 ,Gallery Label,"<i>A Visit from the Old Mistress</i> captures a tentative encounter in the postwar South. The freed slaves are no longer obliged to greet their former mistress with welcoming gestures, and one remains seated as she would not have been allowed to do before the war. Winslow Homer composed the work from sketches he had made while traveling through Virginia; it conveys a silent tension between two communities seeking to understand their future. The formal equivalence between the standing figures suggests the balance that the nation hoped to find in the difficult years of Reconstruction.<p>Exhibition Label, Smithsonian American Art Museum, 2006"
1909.7.3                                  ,Luce Center Label,"<p>Ralph Albert Blakelock is most famous for his moonlit landscapes. In <i>Moonrise</i>, we can just make out the glowing orb behind thickly painted auburn trees. The mysterious yellow-green light from the sky gives a hint of shadowy earth in the foreground and a tree trunk to the left, intensifying the sense of being in a place within the artist's mind.</p>"
1909.7.30                                 ,Luce Center Label,"<p>William Henry Howe made a name for himself in France and the United States as a painter of animals. His farm scenes provided patrons with an antidote to the unnerving changes in American society brought about by industrialization. The prize bull and placid cow in these paintings evoke the patriarchal and matriarchal roles of a nineteenth-century household, and hark back to an ideal of agrarian America that seemed distant from the urban bustle of the Gilded Age.</p>"
1909.7.31                                 ,Research Notes,1909.7.31.pdf
1909.7.32                                 ,Luce Center Label,"<p>George Inness painted peaceful views of the landscape in soft, glowing colors and often included people, animals, and buildings. Sentimental scenes like this of people enjoying nature were popular during the nineteenth century, as towns and industry gradually took over the landscape. In this image, Inness captured the moment just before sunset when everything is bathed in golden light. He painted the figures in the same rich tones as the landscape, underscoring his belief in the harmony between man, nature, and God.</p>"
1909.7.32                                 ,Luce Object Quote,"The civilized landscape . . . can [communicate human sentiment]; and therefore I love it more and think it more worthy of reproduction than that which is savage and untamed."" George Inness"
1909.7.33                                 ,Luce Object Quote,"Every thing in nature has something to say to us."" George Inness"
1909.7.33                                 ,Luce Center Label,"<p>George Inness was influenced by nineteenth-century French landscape painters, who emphasized quiet, intimate views of nature such as forest interiors or meadows. The clearing through the tall trees in this image invites us to join the group of figures, who are enjoying the shade of the forest. The rich colors and soft shapes evoke the muffled sounds created by a thick carpet of pine needles.</p>"
1909.7.36                                 ,Gallery Label,"William Kendall had three daughters whom he loved to paint in tender moments with their mother, Margaret. Here, the closed curtain and open book suggest a bedtime story, but there is a tantalizing hint of another meaning in this image. Margaret Kendall turns her face away from her husband to focus her affection on her daughter, who looks out at us with a wide-eyed, almost haunted expression. The title suggests a quiet moment before something happens, and it is possible that this image foreshadowed the disintegration of Kendallês family. When <i>An Interlude</i> was painted, the artist had begun a relationship with the adolescent niece of artist Albert Herter. Kendall eventually divorced Margaret, resigned his teaching position at Yale, and retired to Hot Springs, Virginia, with Christine Herter.<p>Exhibition Label, Smithsonian American Art Museum, 2006"
1909.7.48                                 ,Luce Center Label,"<p>In <i>Great Silas at Night,</i> Robert Minor created a small yet dramatic nighttime image of waves crashing against the rocks. Minor was living in Greenwich Village in 1890, and this may be a view of the New York or Connecticut coastline. A pinpoint of light from a lighthouse is just visible in the distance, emphasizing the scale of the waves and the potential danger that faced ships sailing off the coast.</p>"
1909.7.51                                 ,Luce Center Label,"<p>J. Francis Murphy created intimate landscape scenes that were painstakingly produced. His process required applying one overall wash of paint to the canvas while he was outside so that he could capture the dominant colors of the landscape. He would let the canvas dry for up to a year before completing the painting in his studio. With its spindly trees, soft yellow-green fields and sweeping clouds, <i>Indian Summer</i> conjures the hazy quality of a memory or dream. (Burke, –J. Francis Murphy,” <i>American Paintings in the Metropolitan Museum of Art</i>, vol. III, 1980)</p>"
1909.7.57                                 ,Luce Center Label,"<p>This painting shows Robert Reidês young wife, Elizabeth Reeves, in the year of their wedding. Reid painted Elizabeth in a white gown surrounded by many different colored flowers to emphasize her¾flawless porcelain skin.¾Their marriage¾lasted only a few years, and here¾the delicate colors and idealized setting suggest the optimism of young love. Reid's many paintings of girls immersed in nature emphasize the fragility and beauty of women, as if he equated them¾with the flowers, trees, and clouds.</p>"
1909.7.62                                 ,Luce Center Label,"<p>William Thomas Smedley was famous for his illustrations in <i>Harperês Weekly</i> and other popular magazines. This country scene evokes the Brandywine River valley of Smedleyês youth. The womanês face glows as she banters with her surprise visitor, who leans into the shadowy room from the sun-drenched field beyond. Smedleyês skill in bringing a story to life shows in this image. We can feel the heat of summer, the cool of the interior, and the excitement of the courting couple.</p>"
1909.7.65                                 ,Luce Center Label,"<p>Twachtman drew inspiration from his seventeen acres of land in Greenwich, Connecticut, and his paintings of the property express the emotional and spiritual comfort he found there. This image describes the beginning of the seasonal transition from winter to spring. Twachtman depicted bare trees and an icy, swollen brook, but allowed the brown primed canvas to show through his thinly applied paint so that a feeling of warmth and regeneration could emerge. Twachtman created many images of streams and brooks, and these ceaselessly moving bodies of water might have held a deeper significance for him. By the time Twachtman painted his Connecticut landscapes, American artists and intellectuals had been interested in Buddhism for more than two decades, and the artist himself had studied Zen philosophy and Japanese art. (Pyne, John Twachtman and the Therapeutic Landscape"
1909.7.68                                 ,Luce Center Label,"Douglas Volkês son, Leo, sits in a lush field at twilight, catching his breath from a day's excitement outdoors. He holds the arrow in a relaxed grip, as a confident young hunter would carry his spear. Leo occupies a transitional time in life, no longer a boy and not yet a man. In the early twentieth century the term adolescence"" came into popular use"
1909.7.7                                  ,Luce Center Label,"In this piece, Robert Blum positioned the viewer as though he were looking down a narrow Venetian canal from a boat on the water. The view shows the Rio Ogni Santi (River of All Saints), in the San Trovaso Quarter, where Blum lived for a time. He spent many summers and winters in Venice, and his sketches, pastels, and paintings capture the city's bright colors and hodgepodge of buildings. In the center of the waterway a man steers a <I>sandolo</I>, which is a smaller, lighter version of a gondola."
1909.7.72                                 ,Luce Center Label,"<p>In <i>A Gentlewoman</i>, J. Alden Weir depicted a well-dressed young woman in a moment of personal reflection. She rests lightly on a chair with her eyes cast downward, completely unaware of the viewer. A contemporary critic praised this woman for her mixture of sturdiness and charm"
1909.9.4                                  ,Luce Center Label,"<p>Emil Carlsen began painting landscapes around the turn of the twentieth century. He created a few scenes based on sketches he made in France, but most of his work depicted the countryside around his summer home in Connecticut. Carlsen admired French landscape artists who painted outdoors, and he emulated their simple scenes, emphasizing the color and atmosphere of the countryside.</p>"
1910.9.1                                  ,Luce Center Label,"<p>Hugo Ballin loved music and liked to play the piano when he was not painting. In this image the teacher plays a portative organ and her student follows on a flute. Before the ruptures of the First World War, middle-class American families still aspired to a nineteenth-century ideal of gentility. Children, particularly girls, were encouraged to study art and music as part of their upbringing. The dark, richly patterned background of this painting evokes a luxurious tapestry, reflecting the cultivated life of young ladies at the turn of the twentieth century.</p>"
1910.9.11                                 ,Gallery Label,"The iron-ore bed in Craig Harbor near Port Henry, New York, was one of the richest veins in the northeast. Earlier artists had pictured America's mountain peaks and virgin forests, but by midcentury, the railroads, mines, and oil fields were the new and exciting scenes to paint. From a mineshaft that looks like a bleeding wound, tailings stream down the side of the cliff to the water, where ore was loaded onto barges. Nearby were the blast furnaces of the Bay State Iron Mine Company, which supplied the steel for America's railroads. Railways in turn carried more raw materials to the nation's burgeoning factories. Painted during the Civil War, Martin's canvas quietly asserted the primacy of the North, whose strength lay in its natural resources and manufacturing.<p>Exhibition Label, Smithsonian American Art Museum, 2006"
1910.9.11                                 ,Research Notes,1910.9.11.pdf
1910.9.13                                 ,Gallery Label,"<i>Fired On</i> captures the fear and adrenaline of an ambush in the West. In the colorless murk before dawn, the light of the moon makes a white horse and his rider a target for an unseen enemy. A contemporary reviewer commented that you would somehow like them to retreat&#151;or advance&#151;or do something that would bring matters to a head."" By 1907 Remington had made the transition from popular illustrator to respected artist"
1910.9.15                                 ,Luce Center Label,"<p>Frank Bicknell may have painted <i>October Morning</i> during one of his many stays at the artists' colony in Old Lyme, Connecticut. In a 1907 letter to Florence Griswold, who rented rooms to artists, he revealed his desire to come to the colony for both inspiration and camaraderie: Will you stow me away somewhere in the big house about the last week in Septembre? Or the first week of Octobre at the latest? Please do not say noãPut me in the Barn if you willãbut come to Lyme I must sometime this Autumn.""</p> <p>In this painting"
1910.9.6                                  ,Luce Center Label,"This is Kenyon Cox's copy of a small figural group from his mural for the Essex County Courthouse in Newark, New Jersey. Cox replicated a group symbolizing the prosperity that comes from justice. The child picking flowers represents Poetry and Art. After he completed the copy, he wrote to his patron, It is not an exact replica of the original . . . I went back to the original studies and used them with a certain freedom"
1910.9.8                                  ,Gallery Label,"Fosdick made this relief to appeal to wealthy industrialists who favored richly designed interiors  and uplifting art. He tapped into the fantasy of a more spiritual past, and when the screen was exhibited, it was praised for craftsmanship that rivaled a medieval masterwork.<p>At the turn of the twentieth century, Joan of Arc was a popular symbol in American culture. Mark Twain wrote about her in 1896, Anna Hyatt Huntington created a sculpture of the martyr for Riverside Drive in New York, and George Bernard Shaw's famous play about her was first produced on Broadway in 1923. She could be a figure from the romantic past and an emblem of the New Woman"" in the modern world. Joan may have died for king and country&#151;as the legend at the bottom of the screen records&#151;but her symbolic power as a woman who took history into her hands also resonated among women fighting for the right to vote.<p>Exhibition Label"
1911.4.1                                  ,Exhibition Label,"The ship and sled team in this image belonged to Frederic Church's friend, polar explorer Dr. Isaac Hayes. Hayes had led an Arctic expedition in 1860, and gave his sketches from the trip to the artist as inspiration for this painting. Hayes returned from his voyage to find the country in the thick of the Civil War, and in a rousing speech vowed that God willing"
1911.4.1                                  ,Research Notes,1911.4.1.pdf
1911.5.1                                  ,Luce Center Label,"<p>William Sartain lived in Algiers for several months in 1874. He immersed himself in Arab culture, eating the food, studying the language, exploring the countryside, and even wearing native clothing. His sketches of the countryside, architecture, and local people became the basis for many images he painted later in America. This piece shows an alleyway with a man carrying a jug of water and a large bowl. The painting is typical of Sartainês work, which showed intimate scenes of everyday life rather than dramatic monuments or panoramas.</p>"
1911.6.1                                  ,Luce Center Label,"<p>This little girl, whose name was Mary, sits with her hands and knee pressed against the pillow, admiring the flowers. The loose brushwork and the informal pose enhance the casual feel of the portrait. Louise Cox was known for her images of children and her ability to work with young, fidgety sitters. In a letter to the buyer of this painting, Cox wrote, –I think the name •May Flowersê would suit the little picture.”</p>"
1911.8.2                                  ,Luce Center Label,"William Morris Hunt turned his attention to landscape painting during the 1870s, and he traveled as far south as Florida, as far west as Mexico, and north to 'Niagara Falls' in search of great views. Many of his canvases from this time, such as this image of <I>The Spouting Whale</I>, are painted loosely, with broad brushstrokes and indistinct forms. The cloudy sky dominates the image, in which we can just make out a geyser of water from a whale below the surface. Although we cannot see the great creature, Hunt conveyed the whale's power in the dark shadows of the choppy water and the vivid contrasts in the sky. The image evokes a sense of foreboding, as if the whale might surge out of the water at any moment. <EM>The Spouting Whale</EM> conveys the drama of the seas at a time when many American painters, such as Frederic Edwin Church and Martin Johnson Heade, embarked on voyages to new frontiers."
1911.8.3                                  ,Luce Center Label,"<p>This painting was a wedding present for Abbott Thayerês friend the architect Stanford White. It is a view near the artistês home in Dublin, New Hampshire, and Thayer himself thought the finished painting –a very successful picture of the sunshine striking down on the bottom of a summer lake.” Thayerês many outdoor scenes of Dublin reflect his passion for nature, an interest that also surfaces in his portraits and allegorical scenes, which are often set in New Hampshireês green fields.</p>"
1912.2.1                                  ,Luce Center Label,"<p>This painting of a craftsman in his studio was one of many images of elderly, independent artisans at work that flourished on the American art market in the last decades of the nineteenth century. Blockmakers specialized in making pulley blocks for ships, and several oval-shaped wooden blocks appear on the worktable. As factory work grew in the United States, such images captured a concern among many Americans that the handworkers and their trades were growing obsolete. These once cherished artisans were too old to survive the life of a factory worker, and as a 1908 <i>McClureês</i> article stated bluntly, –The old man today . . . slow, hesitating, frequently half-blind and deaf, is sadly misplaced amid the death dealing machinery . . .” (Shapiro, –Machine Crafted: The Image of the Artisan in American Genre Painting, 1877-1908,” PhD diss., 2003). </p>"
1912.6.2                                  ,Luce Center Label,"<p>Arthur Turnbull Hill painted several images of Amagansett, Long Island, a popular subject for nineteenth-century American landscape painters. He used bright, translucent colors in this painting to evoke the fresh atmosphere that follows a thunderstorm. The dramatic clouds of the receding storm fill most of the canvas, dwarfing the tiny figures on the beach.</p>"
1912.9.1                                  ,Luce Center Label,"<p>Edwin Willard Demingês paintings romanticized the lives of Native Americans, feeding the myth of a vanishing race of noble savages. In this painting an Indian brave mourns the death of an Indian woman inside a shadowed teepee. With his hands covering his face, he prays over her body, asking the Great Mystery, symbolized by the light that streams from above, to protect her spirit and guide it to the –Happy Western land beyond the Great Waters” (Walsh, ed., <i>Edwin Willard Deming, His Work</i>, 1925).</p>"
1913.11.5                                 ,Luce Center Label,"<p>Walter Shirlaw was a painter and illustrator who studied in Munich, Germany, where he met and befriended Frank Duveneck. Shirlaw was a founder and first president of the Society of American Artists, and a teacher at the Art Students League in New York. In Munich, Duveneck learned the technique of painting a face in lighter tones against a dark background to heighten the psychological power of a portrait. Here, Shirlawês direct gaze and firmly set lips convey a no-nonsense personality. Duveneck captured the reflections of light in Shirlawês enormous, liquid eyes with dabs of pigment brushed directly into areas of still-wet paint.</p>"
1913.6.1                                  ,Luce Center Label,"<p><i>The Wreck</i> shows a lifeboat pulling away from a sinking ship, with a storm approaching from the left. Although steamships in the nineteenth century made sea travel more predictable, the sheer power and vastness of the ocean remained a source of fascination for many artists. This piece evokes adventure and danger as the men struggle to escape the doomed ship.</p>"
1915.3.1                                  ,Luce Center Label,"<p>In the summer of 1889, Elizabeth Nourse traveled with her sister Louise and their Cincinnati friend Anna Schmidt around northern France. It was a bitterly cold day when Nourse painted this scene, and Anna later wrote: –I was with Elizabeth when she painted that girl on the Etaples Dunes---it was so cold and windy the model used to weep.” The modelês pink cheeks and limbs suggest the discomfort of the blustery coastal air that particular day. (Burke, –The Rediscovery of Elizabeth Nourse,” <i>Queen City Heritage: The Journal of the Cincinnati Historical Society</i>, Spring 1983)</p>"
1915.4.3                                  ,Luce Center Label,"<p>William Thomas Evans was an Irish immigrant who became the head of a wholesale dry goods company. He is remembered, however, as a collector of American paintings. In the early 1900s he donated a large part of his collection to this museum, at the time called the National Gallery of Art, which later became the National Collection of Fine Arts and is now called the Smithsonian American Art Museum.</p>"
1915.5.1                                  ,Gallery Label,"William Rimmer based this sculpture of a mortally wounded man on works from ancient Greece and Rome. But its subject echoed the suffering of the United States on the eve of war. When the artist began work in January of 1861, six states had seceded from the Union, and the attack on Fort Sumter was just three months away. Rimmer worked as a doctor, and his critics at first accused him of casting the sculpture on a real human body. As the conflict wore on, however, they praised his representation of torment and suffering, relating it to the grim fate of Americans at war with one another.<p>Exhibition Label, Smithsonian American Art Museum, 2006"
1916.8.1                                  ,Research Notes,1916.8.1.pdf
1917.1.1                                  ,Luce Center Label,"<p>Eugene Laurent Vail was born in Brittany and returned there to paint after studying in New York City and Paris. He was highly respected by art critics and artists alike for his scenes of everyday life and found inspiration in his native region's people and fishing villages. In <i>A Breton Sunday</i>, a young woman holds a Bible and wears the typical white Breton cap. Behind a fishing boat, rings of smoke dot the hilly shoreline and a church sits atop a hill far in the distance. The flat perspective, dark colors, and floating figure show a departure from Vail's usual impressionistic style with its bright colors and loose brushstrokes. The painting's composition and mood suggest Vail's awareness of the symbolist painters of Pont-Aven of the 1880s. The symbolist movement focused on the emotions and ideas that an artwork evoked rather than its formal composition and narrative. The movement greatly influenced French painters at the time, most notably Paul Gauguin, who championed its ideas in his art and writings.</p>"
1917.1.2                                  ,Luce Center Label,"<p>This image captures the last glimpses of light before darkness falls on a summer day. The luminous clouds and vast expanse of sky complement the comforting shadows of trees over a quiet homestead. William J. Kaula painted the greens, browns, and lavenders in closely related values that suggest the soft glow of twilight on a warm evening.</p>"
1917.11.1                                 ,Luce Object Quote,"I have worked in my studio not envying kings in their splendor; my mind to me was my kingdom and my work more than diamonds and rubies."" Vinnie Ream"
1917.2.3                                  ,Gallery Label,"Six months before he died, West looked unflinchingly into the mirror to paint his self-portrait. He holds a drawing pencil and wears a painter's robe and beaver hat, which identify him as a founder and president of the Royal Academy of Art. The light is strongest on his face and hands, but the rest of the picture falls into shadow, as if he foresaw his own end. West was official painter to the King of England and the first American artist to gain an international reputation. His example led generations of American artists to measure their art and professional identities by European standards.<p>Exhibition Label, Smithsonian American Art Museum, 2006"
1917.3.1                                  ,Luce Center Label,"<p><i>The Fire Dance</i> is one of many works that grew out of Louis Potterês experiences with the native cultures in Alaska. It is possible that the artist saw a fire dance ceremony, popular with many Native American nations at the time. The graceful lines of the arms and the legs and the exaggerated, forward motion of the dancer capture the intensity of this ritual, which the participants regarded as a joyful battle with natureês elements.</p>"
1918.3.5                                  ,Luce Center Label,"<p>Harriet Hosmer created <i>Puck</i> out of financial necessity when her father could no longer support her in Rome. Literary themes were popular in the nineteenth century, and Hosmer chose the mischievous but adorable fairy from Shakespeareês<i> A Midsummer Nightês Dream</i>. <i>Puck</i>---or –my son,” as Hosmer called him---was an instant success with the aristocracy, including Albert Edward, the Prince of Wales and the crown princess of Germany, who, upon seeing the work, remarked, –Oh, Miss Hosmer, you have such talent for toes!”</p>"
1918.3.5                                  ,Luce Object Quote,"<p>–I have another order for Puck; he has already brought me his weight in silver.” Harriet Hosmer, in Cornelia Crow Carr, ed., <i>Harriet Hosmer: Letters and Memories</i>, 1913</p>"
1918.5.26                                 ,Luce Center Label,"<p>William Couper based <i>Tennysonês Princess</i> on the main character in Alfred, Lord Tennysonês poem of 1847. The story tells of Princess Ida, who at first shuns marriage to establish a university for women, but later falls in love and marries a prince. Idaês pursuit of an education instead of marriage was not widely accepted in the nineteenth century, and, two years after Couper modeled this piece, Gilbert and Sullivan wrote a musical satire based on Tennysonês poem. Couper carved tobacco leaves around the bottom part of the sculpture, perhaps in honor of his home state of Virginia.</p>"
1920.4.1                                  ,Luce Center Label,"<p>William Henry Rinehart's marble sculture of two sleeping children beautifully captures a peaceful moment in time. An anonymous visitor to the artist's studio at the time reported that Rinehart sculpted the children from life as they napped, allowing him to render their ringlets and chubby hands in exquisite detail. Nineteenth-century artists used sleeping figures to evoke death, and images like this often served as grave markers. An early replica of <i>Sleeping Children</i> can be found in Green Mount Cemetery in Baltimore, on the family plot of the artist's patron and friend, Hugh Sisson.</p>"
1921.1.1                                  ,Luce Center Label,"<p>Moses Wainer Dykaar modeled this portrait of General George Owen Squier, the chief signal officer of the United States Army, from life. The portrait was reportedly so realistic that when the generalês picture was taken next to it, his friends said that the sculpture was –more like him than he appeared in the photograph.”</p>"
