"ObjectNumber","TextType","Description"
"1909.7.51                                 ","Luce Center Label","<p>J. Francis Murphy created intimate landscape scenes that were painstakingly produced. His process required applying one overall wash of paint to the canvas while he was outside so that he could capture the dominant colors of the landscape. He would let the canvas dry for up to a year before completing the painting in his studio. With its spindly trees, soft yellow-green fields and sweeping clouds, <i>Indian Summer</i> conjures the hazy quality of a memory or dream. (Burke, “J. Francis Murphy,” <i>American Paintings in the Metropolitan Museum of Art</i>, vol. III, 1980)</p>"
"1909.7.57                                 ","Luce Center Label","<p>This painting shows Robert Reid’s young wife, Elizabeth Reeves, in the year of their wedding. Reid painted Elizabeth in a white gown surrounded by many different colored flowers to emphasize her flawless porcelain skin. Their marriage lasted only a few years, and here the delicate colors and idealized setting suggest the optimism of young love. Reid's many paintings of girls immersed in nature emphasize the fragility and beauty of women, as if he equated them with the flowers, trees, and clouds.</p>"
"1909.7.62                                 ","Luce Center Label","<p>William Thomas Smedley was famous for his illustrations in <i>Harper’s Weekly</i> and other popular magazines. This country scene evokes the Brandywine River valley of Smedley’s youth. The woman’s face glows as she banters with her surprise visitor, who leans into the shadowy room from the sun-drenched field beyond. Smedley’s skill in bringing a story to life shows in this image. We can feel the heat of summer, the cool of the interior, and the excitement of the courting couple.</p>"
"1909.7.65                                 ","Luce Center Label","<p>Twachtman drew inspiration from his seventeen acres of land in Greenwich, Connecticut, and his paintings of the property express the emotional and spiritual comfort he found there. This image describes the beginning of the seasonal transition from winter to spring. Twachtman depicted bare trees and an icy, swollen brook, but allowed the brown primed canvas to show through his thinly applied paint so that a feeling of warmth and regeneration could emerge. Twachtman created many images of streams and brooks, and these ceaselessly moving bodies of water might have held a deeper significance for him. By the time Twachtman painted his Connecticut landscapes, American artists and intellectuals had been interested in Buddhism for more than two decades, and the artist himself had studied Zen philosophy and Japanese art. (Pyne, "John Twachtman and the Therapeutic Landscape," in Chotner et al., <i>John Twachtman: Connecticut Landscapes</i>, 1989) This may account for the meditative quality of his pictures, the sense of looking not at an actual landscape, but at an inward image of something seen long before.</p>"
"1909.7.68                                 ","Luce Center Label","Douglas Volk’s son, Leo, sits in a lush field at twilight, catching his breath from a day's excitement outdoors. He holds the arrow in a relaxed grip, as a confident young hunter would carry his spear. Leo occupies a transitional time in life, no longer a boy and not yet a man. In the early twentieth century the term "adolescence" came into popular use, and psychologists encouraged parents to guide their children through these turbulent years (Mintz, <I>Huck's Raft: A History of American Childhood</I>, 2004). The character of Peter Pan, a boy who did not want to grow up, first appeared in the pages of <I>Scribner’s Magazine</I> the year before this painting was made. In this climate, Volk exhibited the painting at the 1904 St. Louis World’s Fair to great acclaim. He pictured his son as an energetic American boy, but the classical, pastoral setting also conveyed a timeless ideal of youth on the verge of adulthood."
"1909.7.7                                  ","Luce Center Label","In this piece, Robert Blum positioned the viewer as though he were looking down a narrow Venetian canal from a boat on the water. The view shows the Rio Ogni Santi (River of All Saints), in the San Trovaso Quarter, where Blum lived for a time. He spent many summers and winters in Venice, and his sketches, pastels, and paintings capture the city's bright colors and hodgepodge of buildings. In the center of the waterway a man steers a <I>sandolo</I>, which is a smaller, lighter version of a gondola."
"1909.7.72                                 ","Luce Center Label","<p>In <i>A Gentlewoman</i>, J. Alden Weir depicted a well-dressed young woman in a moment of personal reflection. She rests lightly on a chair with her eyes cast downward, completely unaware of the viewer. A contemporary critic praised this woman for her "mixture of sturdiness and charm," qualities valued in turn-of-the-century gentlewomen. In the early twentieth century, modernization brought on by steam power and railroads caused feelings of anxiety among many Americans. To help alleviate such feelings, artists created images like these of quiet interior scenes, a visually soothing antidote to an unquiet age.</p>"
"1909.9.4                                  ","Luce Center Label","<p>Emil Carlsen began painting landscapes around the turn of the twentieth century. He created a few scenes based on sketches he made in France, but most of his work depicted the countryside around his summer home in Connecticut. Carlsen admired French landscape artists who painted outdoors, and he emulated their simple scenes, emphasizing the color and atmosphere of the countryside.</p>"
"1909.9.6                                  ","Luce Center Label","<p><i>Old Church at Giverny</i> was painted in the summer of 1891 and depicts the west elevation and conical tower of the Church of Sainte Radegonde in the French village of Giverny, located fifty miles from Paris on the River Seine. In the late nineteenth century, France was an international center of artistic training and production and was a popular destination for American painters and collectors. Typically, American artists would settle in Paris but also make regular excursions into the French countryside, where they could paint outdoors. Theodore Robinson was among a group of American painters who began to visit Giverny, where the French impressionist painter Claude Monet had settled in 1883. Robinson's friendship with Monet greatly influenced his technique in this period and manifested itself most significantly in the loose brushstrokes that indicate color and light. The paintings made by Robinson at Giverny are notable for the absence of the modernity that was sweeping French cities and towns, and appear to emphasize Giverny as a place where man and nature can still live in harmony.</p>"
"1910.9.1                                  ","Luce Center Label","<p>Hugo Ballin loved music and liked to play the piano when he was not painting. In this image the teacher plays a portative organ and her student follows on a flute. Before the ruptures of the First World War, middle-class American families still aspired to a nineteenth-century ideal of gentility. Children, particularly girls, were encouraged to study art and music as part of their upbringing. The dark, richly patterned background of this painting evokes a luxurious tapestry, reflecting the cultivated life of young ladies at the turn of the twentieth century.</p>"
"1910.9.11                                 ","Gallery Label","The iron-ore bed in Craig Harbor near Port Henry, New York, was one of the richest veins in the northeast. Earlier artists had pictured America's mountain peaks and virgin forests, but by midcentury, the railroads, mines, and oil fields were the new and exciting scenes to paint. From a mineshaft that looks like a bleeding wound, tailings stream down the side of the cliff to the water, where ore was loaded onto barges. Nearby were the blast furnaces of the Bay State Iron Mine Company, which supplied the steel for America's railroads. Railways in turn carried more raw materials to the nation's burgeoning factories. Painted during the Civil War, Martin's canvas quietly asserted the primacy of the North, whose strength lay in its natural resources and manufacturing.<p>Exhibition Label, Smithsonian American Art Museum, 2006"
"1910.9.11                                 ","Research Notes","1910.9.11.pdf"
"1910.9.13                                 ","Gallery Label","<i>Fired On</i> captures the fear and adrenaline of an ambush in the West. In the colorless murk before dawn, the light of the moon makes a white horse and his rider a target for an unseen enemy. A contemporary reviewer commented that "you would somehow like them to retreat&#151;or advance&#151;or do something that would bring matters to a head." By 1907 Remington had made the transition from popular illustrator to respected artist, and this was the first painting of his to be acquired by an American museum. Despite his successes, this was the period in which he painted many canvases that evoked darkness and unidentifiable dangers. The artist often spoke during these years of feeling as though he were under attack. The mythical West had been tamed, and his own culture in the East seemed threatened by waves of European immigrants. He referred to Anglo-Saxon urban Americans like himself as "his tribe," in danger of extinction.<p>Exhibition Label, Smithsonian American Art Museum, 2006"
"1910.9.15                                 ","Luce Center Label","<p>Frank Bicknell may have painted <i>October Morning</i> during one of his many stays at the artists' colony in Old Lyme, Connecticut. In a 1907 letter to Florence Griswold, who rented rooms to artists, he revealed his desire to come to the colony for both inspiration and camaraderie: "Will you stow me away somewhere in the big house about the last week in Septembre? Or the first week of Octobre at the latest? Please do not say no—Put me in the Barn if you will—but come to Lyme I must sometime this Autumn."</p> <p>In this painting, Bicknell captured the moment the sun rises to reveal the country landscape. Soft colors and brushstrokes, combined with the cool morning light, give the painting an otherworldly quality. Lush trees climb a small hill on the right side of the canvas. The left side is open, revealing the mountains in the distance. This asymmetrical arrangement shows the influence of Japanese woodblock prints. American impressionist painters, including Bicknell, studied these prints, experimenting with Japanese perspective and space to create compositions in which the subject was not always at the center. </p>"
"1910.9.6                                  ","Luce Center Label","This is Kenyon Cox's copy of a small figural group from his mural for the Essex County Courthouse in Newark, New Jersey. Cox replicated a group symbolizing the prosperity that comes from justice. The child picking flowers represents Poetry and Art. After he completed the copy, he wrote to his patron, "It is not an exact replica of the original . . . I went back to the original studies and used them with a certain freedom, and I think the result, in many ways, finer than the first group.""
"1910.9.8                                  ","Gallery Label","Fosdick made this relief to appeal to wealthy industrialists who favored richly designed interiors  and uplifting art. He tapped into the fantasy of a more spiritual past, and when the screen was exhibited, it was praised for craftsmanship that rivaled a medieval masterwork.<p>At the turn of the twentieth century, Joan of Arc was a popular symbol in American culture. Mark Twain wrote about her in 1896, Anna Hyatt Huntington created a sculpture of the martyr for Riverside Drive in New York, and George Bernard Shaw's famous play about her was first produced on Broadway in 1923. She could be a figure from the romantic past and an emblem of the "New Woman" in the modern world. Joan may have died for king and country&#151;as the legend at the bottom of the screen records&#151;but her symbolic power as a woman who took history into her hands also resonated among women fighting for the right to vote.<p>Exhibition Label, Smithsonian American Art Museum, 2006"
"1911.4.1                                  ","Exhibition Label","The ship and sled team in this image belonged to Frederic Church's friend, polar explorer Dr. Isaac Hayes. Hayes had led an Arctic expedition in 1860, and gave his sketches from the trip to the artist as inspiration for this painting. Hayes returned from his voyage to find the country in the thick of the Civil War, and in a rousing speech vowed that "God willing, I trust yet to carry the flag of the great Republic, with not a single star erased from its glorious Union, to the extreme northern limits of the earth." Viewers understood Church's painting of the Aurora Borealis (also known as the northern lights) as a portent of disaster, a divine omen relating to the conflict.<p>Exhibition Label, Smithsonian American Art Museum, 2006"
"1911.4.1                                  ","Research Notes","1911.4.1.pdf"
"1911.5.1                                  ","Luce Center Label","<p>William Sartain lived in Algiers for several months in 1874. He immersed himself in Arab culture, eating the food, studying the language, exploring the countryside, and even wearing native clothing. His sketches of the countryside, architecture, and local people became the basis for many images he painted later in America. This piece shows an alleyway with a man carrying a jug of water and a large bowl. The painting is typical of Sartain’s work, which showed intimate scenes of everyday life rather than dramatic monuments or panoramas.</p>"
"1911.6.1                                  ","Luce Center Label","<p>This little girl, whose name was Mary, sits with her hands and knee pressed against the pillow, admiring the flowers. The loose brushwork and the informal pose enhance the casual feel of the portrait. Louise Cox was known for her images of children and her ability to work with young, fidgety sitters. In a letter to the buyer of this painting, Cox wrote, “I think the name ‘May Flowers’ would suit the little picture.”</p>"
"1911.8.2                                  ","Luce Center Label","William Morris Hunt turned his attention to landscape painting during the 1870s, and he traveled as far south as Florida, as far west as Mexico, and north to 'Niagara Falls' in search of great views. Many of his canvases from this time, such as this image of <I>The Spouting Whale</I>, are painted loosely, with broad brushstrokes and indistinct forms. The cloudy sky dominates the image, in which we can just make out a geyser of water from a whale below the surface. Although we cannot see the great creature, Hunt conveyed the whale's power in the dark shadows of the choppy water and the vivid contrasts in the sky. The image evokes a sense of foreboding, as if the whale might surge out of the water at any moment. <EM>The Spouting Whale</EM> conveys the drama of the seas at a time when many American painters, such as Frederic Edwin Church and Martin Johnson Heade, embarked on voyages to new frontiers."
"1911.8.3                                  ","Luce Center Label","<p>This painting was a wedding present for Abbott Thayer’s friend the architect Stanford White. It is a view near the artist’s home in Dublin, New Hampshire, and Thayer himself thought the finished painting “a very successful picture of the sunshine striking down on the bottom of a summer lake.” Thayer’s many outdoor scenes of Dublin reflect his passion for nature, an interest that also surfaces in his portraits and allegorical scenes, which are often set in New Hampshire’s green fields.</p>"
"1912.2.1                                  ","Luce Center Label","<p>This painting of a craftsman in his studio was one of many images of elderly, independent artisans at work that flourished on the American art market in the last decades of the nineteenth century. Blockmakers specialized in making pulley blocks for ships, and several oval-shaped wooden blocks appear on the worktable. As factory work grew in the United States, such images captured a concern among many Americans that the handworkers and their trades were growing obsolete. These once cherished artisans were too old to survive the life of a factory worker, and as a 1908 <i>McClure’s</i> article stated bluntly, “The old man today . . . slow, hesitating, frequently half-blind and deaf, is sadly misplaced amid the death dealing machinery . . .” (Shapiro, “Machine Crafted: The Image of the Artisan in American Genre Painting, 1877-1908,” PhD diss., 2003). </p>"
"1912.6.2                                  ","Luce Center Label","<p>Arthur Turnbull Hill painted several images of Amagansett, Long Island, a popular subject for nineteenth-century American landscape painters. He used bright, translucent colors in this painting to evoke the fresh atmosphere that follows a thunderstorm. The dramatic clouds of the receding storm fill most of the canvas, dwarfing the tiny figures on the beach.</p>"
"1912.9.1                                  ","Luce Center Label","<p>Edwin Willard Deming’s paintings romanticized the lives of Native Americans, feeding the myth of a vanishing race of noble savages. In this painting an Indian brave mourns the death of an Indian woman inside a shadowed teepee. With his hands covering his face, he prays over her body, asking the Great Mystery, symbolized by the light that streams from above, to protect her spirit and guide it to the “Happy Western land beyond the Great Waters” (Walsh, ed., <i>Edwin Willard Deming, His Work</i>, 1925).</p>"
"1913.11.5                                 ","Luce Center Label","<p>Walter Shirlaw was a painter and illustrator who studied in Munich, Germany, where he met and befriended Frank Duveneck. Shirlaw was a founder and first president of the Society of American Artists, and a teacher at the Art Students League in New York. In Munich, Duveneck learned the technique of painting a face in lighter tones against a dark background to heighten the psychological power of a portrait. Here, Shirlaw’s direct gaze and firmly set lips convey a no-nonsense personality. Duveneck captured the reflections of light in Shirlaw’s enormous, liquid eyes with dabs of pigment brushed directly into areas of still-wet paint.</p>"
"1913.6.1                                  ","Luce Center Label","<p><i>The Wreck</i> shows a lifeboat pulling away from a sinking ship, with a storm approaching from the left. Although steamships in the nineteenth century made sea travel more predictable, the sheer power and vastness of the ocean remained a source of fascination for many artists. This piece evokes adventure and danger as the men struggle to escape the doomed ship.</p>"
"1915.3.1                                  ","Luce Center Label","<p>In the summer of 1889, Elizabeth Nourse traveled with her sister Louise and their Cincinnati friend Anna Schmidt around northern France. It was a bitterly cold day when Nourse painted this scene, and Anna later wrote: “I was with Elizabeth when she painted that girl on the Etaples Dunes---it was so cold and windy the model used to weep.” The model’s pink cheeks and limbs suggest the discomfort of the blustery coastal air that particular day. (Burke, “The Rediscovery of Elizabeth Nourse,” <i>Queen City Heritage: The Journal of the Cincinnati Historical Society</i>, Spring 1983)</p>"
"1915.4.1                                  ","Luce Center Label","<p>This painting shows the wife and son of William Thomas Evans, a businessman and art collector who donated a large number of paintings to this museum in 1915. Henry Oliver Walker chose to portray Mrs. Evans reading a book to her son, emphasizing that she was raising the child with a classical education in literature. Light bounces off the ornate tabernacle frame, drawing us into the image and bringing out the lighter shades of paint in the figures' faces. The floral pattern in the gilded surround mimics the lively brushstrokes in the background, while the scrolls at the top echo the design of the armrest, strengthening the relationship between the image and its frame.</p>
<p>This painting is currently on view on the second floor of the Museum in the Gilded Age galleries.</p>"
"1915.4.3                                  ","Luce Center Label","<p>William Thomas Evans was an Irish immigrant who became the head of a wholesale dry goods company. He is remembered, however, as a collector of American paintings. In the early 1900s he donated a large part of his collection to this museum, at the time called the National Gallery of Art, which later became the National Collection of Fine Arts and is now called the Smithsonian American Art Museum.</p>"
"1915.5.1                                  ","Gallery Label","William Rimmer based this sculpture of a mortally wounded man on works from ancient Greece and Rome. But its subject echoed the suffering of the United States on the eve of war. When the artist began work in January of 1861, six states had seceded from the Union, and the attack on Fort Sumter was just three months away. Rimmer worked as a doctor, and his critics at first accused him of casting the sculpture on a real human body. As the conflict wore on, however, they praised his representation of torment and suffering, relating it to the grim fate of Americans at war with one another.<p>Exhibition Label, Smithsonian American Art Museum, 2006"
"1916.8.1                                  ","Research Notes","1916.8.1.pdf"
"1917.1.1                                  ","Luce Center Label","<p>Eugene Laurent Vail was born in Brittany and returned there to paint after studying in New York City and Paris. He was highly respected by art critics and artists alike for his scenes of everyday life and found inspiration in his native region's people and fishing villages. In <i>A Breton Sunday</i>, a young woman holds a Bible and wears the typical white Breton cap. Behind a fishing boat, rings of smoke dot the hilly shoreline and a church sits atop a hill far in the distance. The flat perspective, dark colors, and floating figure show a departure from Vail's usual impressionistic style with its bright colors and loose brushstrokes. The painting's composition and mood suggest Vail's awareness of the symbolist painters of Pont-Aven of the 1880s. The symbolist movement focused on the emotions and ideas that an artwork evoked rather than its formal composition and narrative. The movement greatly influenced French painters at the time, most notably Paul Gauguin, who championed its ideas in his art and writings.</p>"
"1917.1.2                                  ","Luce Center Label","<p>This image captures the last glimpses of light before darkness falls on a summer day. The luminous clouds and vast expanse of sky complement the comforting shadows of trees over a quiet homestead. William J. Kaula painted the greens, browns, and lavenders in closely related values that suggest the soft glow of twilight on a warm evening.</p>"
