City,County,State,Country
Leiden,NULL,NULL,Netherlands
Leipzig,NULL,NULL,Germany
Leipzig,NULL,Saxony,Germany
Leland,NULL,Mississippi,United States
Lempster,NULL,New Hampshire,United States
Lengmoos,NULL,NULL,Germany
Lenox,NULL,Massachusetts,United States
Leon,Decatur County,Iowa,United States
Leona,NULL,New Jersey,United States
Leonard,NULL,Texas,United States
Leonardo,NULL,New Jersey,United States
Leonia,NULL,New Jersey,United States
Lerna,NULL,Illinois,United States
Les Andelys,NULL,NULL,France
Les Cayes,NULL,NULL,Haiti
Lessines,NULL,NULL,Belgium
Lesterville,NULL,Missouri,United States
Leupp,NULL,Arizona,United States
Leverett,NULL,Massachusetts,United States
Levittown,NULL,Pennsylvania,United States
Lewes,NULL,Delaware,United States
Lewisburg,NULL,Tennessee,United States
Lewiston,NULL,Maine,United States
Lewistown,NULL,Pennsylvania,United States
Lexington,NULL,Kentucky,United States
Lexington,NULL,Massachusetts,United States
Lexington,NULL,Oklahoma,United States
Lexington,NULL,Virginia,United States
Leyden,NULL,Massachusetts,United States
Libau,NULL,NULL,Latvia
Liberty,NULL,Virginia,United States
Liege,NULL,NULL,Belgium
Liege,NULL,NULL,Flanders
Lightcliffe,NULL,NULL,England
Lille,NULL,NULL,France
Lillian,NULL,Virginia,United States
Lima,NULL,NULL,Peru
Lima,NULL,New York,United States
Lima,NULL,Ohio,United States
Limerick,NULL,NULL,Ireland
Limonest,NULL,NULL,France
Lincoln,NULL,NULL,England
Lincoln,NULL,Illinois,United States
Lincoln,NULL,Nebraska,United States
Lincoln,Lancaster County,Nebraska,United States
Lincolnshire,NULL,NULL,England
Lindsborg,NULL,Kansas,United States
Lindsey,NULL,Oklahoma,United States
Lindstrom,NULL,Minnesota,United States
Linfield,NULL,Pennsylvania,United States
Linstead,NULL,NULL,Jamaica
Linz,NULL,NULL,Austria
Linz,NULL,NULL,Austria-Hungary
Lipari,NULL,NULL,Italy
Lisbon,NULL,New Hampshire,United States
Lisbon,NULL,New York,United States
Liska,NULL,NULL,Austria-Hungary
Listowel,NULL,Ontario,Canada
Litchfield,NULL,Connecticut,United States
Litchfield,NULL,Minnesota,United States
Lithonia,NULL,Georgia,United States
Little Compton,NULL,Rhode Island,United States
Little Gap,NULL,Pennsylvania,United States
Little Rock,NULL,Arkansas,NULL
Little Rock,NULL,Arkansas,United States
Little Rose,NULL,Wisconsin,United States
Littleton,NULL,New Hampshire,United States
Livermore,NULL,California,United States
Liverpool,NULL,NULL,England
Livesey Hall,NULL,NULL,England
Livingston,NULL,New Jersey,United States
Livingston,NULL,New York,United States
Livorno,NULL,NULL,Italy
Livry-Gargan,NULL,NULL,France
Llanberis,NULL,NULL,Wales
Llandudno,NULL,NULL,Wales
Locarno,NULL,NULL,Switzerland
Lock Haven,NULL,Pennsylvania,United States
Locust Point,NULL,New Jersey,United States
Locust Valley,NULL,New York,United States
Lodi,NULL,California,United States
Lodi,NULL,Illinois,United States
Lodi,NULL,New Jersey,United States
Lodz,NULL,NULL,Poland
Lofton,NULL,Virginia,United States
Logan,NULL,Ohio,United States
Logan,NULL,Oklahoma,United States
Logan,NULL,Utah,United States
Logansport,NULL,Indiana,United States
Loleta,NULL,California,United States
Loma Linda,NULL,California,United States
Lompoc,NULL,California,United States
London,NULL,NULL,England
London,NULL,Ontario,Canada
London,NULL,Texas,United States
Londonderry,NULL,New York,United States
Londonderry,NULL,Vermont,United States
Long Beach,NULL,California,NULL
Long Beach,NULL,California,United States
Long Beach,NULL,New York,United States
Long Branch,NULL,California,United States
Long Branch,NULL,New Jersey,United States
Long Creek,NULL,North Carolina,United States
Long Hill,Bucks County,Pennsylvania,NULL
Long Island,NULL,New York,United States
Long Island City,NULL,New York,United States
Long Lake,NULL,New York,NULL
Longbranch,NULL,New Jersey,United States
Longue Pointe,NULL,NULL,Canada
Lopez Island,NULL,Washington,United States
Lorain,NULL,Ohio,United States
Lorton,NULL,Virginia,United States
Los Alamos,NULL,New Mexico,United States
Los Angeles,NULL,California,NULL
Los Angeles,NULL,California,United States
Los Angeles,NULL,California,USA
Los Gatos,NULL,California,United States
Lossnitz,NULL,NULL,Germany
Lost Springs,NULL,Kansas,United States
Loudon,NULL,Massachusetts,United States
Loudon,NULL,New Hampshire,United States
Loudonville,NULL,Ohio,United States
Louisiana,NULL,Missouri,United States
Louisville,NULL,Kentucky,NULL
Louisville,NULL,Kentucky,United States
Loveladies Harbor,NULL,New Jersey,United States
Loveland,NULL,Colorado,United States
Lovell,NULL,Maine,United States
Lowell,NULL,Massachusetts,United States
Lower Merion,NULL,Pennsylvania,United States
Lowville,NULL,New York,United States
Loysville,NULL,Pennsylvania,United States
Lubbock,NULL,Texas,United States
Lubeck,NULL,NULL,Germany
LÙbeck,NULL,NULL,Germany
Lublin,NULL,NULL,Poland
Lucerne,NULL,NULL,Switzerland
Lucknow,NULL,NULL,India
Ludington,NULL,Michigan,United States
Ludlow,NULL,Vermont,United States
Ludvinovka,NULL,NULL,Russia
Luedenscheid,NULL,NULL,Germany
Lula,NULL,Georgia,United States
Lumberville,NULL,Pennsylvania,United States
Luray,NULL,Virginia,United States
Lusby,NULL,Maryland,United States
Luxeuil,NULL,NULL,France
Lvov,NULL,NULL,Ukraine
Lyme,NULL,Connecticut,United States
Lynchburg,NULL,Virginia,United States
Lynden,NULL,Washington,United States
Lynn,NULL,Massachusetts,United States
Lynwood,NULL,California,United States
Lyons,NULL,NULL,France
Lyons,NULL,Kansas,United States
Maastricht,NULL,NULL,Netherlands
Mabon,NULL,Nova Scotia,Canada
Macklin,NULL,Saskatchewan,Canada
Macon,NULL,Georgia,United States
Macungie,NULL,Pennsylvania,United States
Madison,NULL,Connecticut,United States
Madison,NULL,Georgia,United States
Madison,NULL,Indiana,United States
Madison,NULL,Wisconsin,United States
Madisonville,NULL,Kentucky,United States
Madras,NULL,NULL,India
Madrid,NULL,NULL,Spain
Madrid,NULL,Nebraska,United States
Magdeburg,NULL,NULL,Germany
Magnolia,NULL,Massachusetts,United States
Mahanoy City,NULL,Pennsylvania,United States
Maidsville,NULL,West Virginia,United States
Mainz,NULL,NULL,Germany
Maitland,NULL,Florida,United States
Makanda,NULL,Illinois,United States
Malaga,NULL,NULL,Spain
Malden,NULL,NULL,Australia
Malden,NULL,Massachusetts,United States
Malente,NULL,NULL,Germany
Malibu,NULL,California,NULL
Malibu,NULL,California,United States
Mallorca,NULL,NULL,Spain
Malmo,NULL,NULL,Sweden
Malnate,NULL,NULL,Italy
Malone,NULL,New York,United States
Malta,NULL,Ohio,United States
Malvern,NULL,Arkansas,United States
Malvern,NULL,Pennsylvania,United States
Mamaroneck,NULL,New York,United States
Mamou,NULL,Louisiana,United States
Managua,NULL,NULL,Nicaragua
Manasquan,NULL,New Jersey,United States
Manassas,NULL,Virginia,United States
Manchaca,NULL,Texas,United States
Manchester,NULL,NULL,England
Manchester,NULL,Massachusetts,United States
Manchester,NULL,New Hampshire,United States
Manchester,NULL,Vermont,United States
Manchester Center,NULL,Vermont,United States
Manhasset,NULL,New York,United States
Manhattan,NULL,Kansas,United States
Manhattan Beach,NULL,California,United States
Manheim,NULL,Pennsylvania,United States
Manila,NULL,NULL,Philippines
Manistee,NULL,Michigan,United States
Manitowoc,NULL,Wisconsin,United States
Mankato,NULL,Minnesota,United States
Manlius,NULL,New York,United States
Manlius Square,NULL,New York,United States
Mannheim,NULL,NULL,Germany
Manorhamilton,NULL,NULL,Ireland
Manson,NULL,Washington,United States
Mantorville,NULL,Minnesota,United States
Mantua,NULL,NULL,Italy
Mantua,NULL,Lombardy,Italy
Maple Park,NULL,Illinois,United States
Maplewood,NULL,New Jersey,United States
Marbella,NULL,NULL,Spain
Marblehead,NULL,Massachusetts,United States
Mare Island,NULL,California,United States
Marengo,NULL,Iowa,United States
Marfa,NULL,Texas,United States
Margaretville,NULL,New York,United States
Marianao,NULL,Province of Havana,Cuba
Maricopa,NULL,Arizona,United States
Marietta,NULL,Georgia,United States
Marietta,NULL,Ohio,United States
Marine City,NULL,Michigan,United States
Marinette,NULL,Wisconsin,United States
Marion,NULL,Arkansas,United States
Marion,NULL,Indiana,United States
Marion,NULL,Iowa,United States
Marion,NULL,Massachusetts,United States
Marion,NULL,Virginia,United States
Marken Island,NULL,NULL,Netherlands
Markesan,NULL,Wisconsin,United States
Marlboro,NULL,New York,United States
Marlboro,NULL,Vermont,United States
Marlotte,NULL,NULL,France
Marquette,NULL,Michigan,United States
Marrakesh,NULL,NULL,Morocco
Marriotsville,NULL,Maryland,United States
Marsala,NULL,NULL,Italy
Marseille,NULL,NULL,France
Marshfield,NULL,Massachusetts,United States
Martha's Vineyard,NULL,Massachusetts,United States
Martins Creek,NULL,Pennsylvania,United States
Martinsburg,NULL,West Virginia,United States
Marysville,NULL,Washington,United States
Maryville,NULL,Missouri,United States
Mason,NULL,New Hampshire,United States
Mason City,NULL,Iowa,United States
Masonville,NULL,Colorado,United States
Massapequa,NULL,New York,United States
Massillon,NULL,Ohio,United States
Matsue,NULL,NULL,Japan
Mattapoisett,NULL,Massachusetts,United States
Mauch Chunk,NULL,Pennsylvania,United States
Maui,NULL,Hawaii,United States
Maxton,NULL,North Carolina,United States
Mayfield,NULL,Kansas,United States
Mayfield,NULL,Kentucky,United States
Maysville,NULL,Georgia,United States
Mayville,NULL,North Dakota,United States
Maywood,NULL,New Jersey,United States
MazarrÑn,NULL,NULL,Spain
Mazatlan,NULL,NULL,Mexico
McAllister,NULL,Oklahoma,United States
McClean,NULL,Virginia,United States
McClellanville,NULL,South Carolina,United States
McColl,NULL,South Carolina,United States
McGregor,NULL,Texas,United States
McKean,NULL,Pennsylvania,United States
McLean,NULL,Virginia,United States
McPherson,NULL,Kansas,United States
Meadville,NULL,Pennsylvania,United States
Mechanicsville,NULL,Pennsylvania,United States
Mechelen,NULL,NULL,Belgium
Medanales,NULL,New Mexico,United States
Medford,NULL,Massachusetts,United States
Medford,NULL,Oregon,United States
Media,NULL,Pennsylvania,United States
Medicine Park,NULL,Oklahoma,United States
Melbourne,NULL,NULL,Australia
Melbourne,NULL,Florida,United States
Melrose,NULL,Massachusetts,United States
Melrose,NULL,Ohio,United States
Melun,NULL,NULL,France
Memmingen,NULL,NULL,Germany
Memphis,NULL,Missouri,United States
Memphis,NULL,Tennessee,United States
Mendham,NULL,New Jersey,United States
Mendocino,NULL,California,United States
Menominee,NULL,Michigan,United States
Menomonie,NULL,Wisconsin,United States
Mer,NULL,NULL,France
Meran,NULL,NULL,Austria-Hungary
Merchantville,NULL,New Jersey,United States
Meredith,NULL,New Hampshire,United States
Meriden,NULL,Connecticut,United States
Merion,NULL,Pennsylvania,United States
Merion Square,NULL,Pennsylvania,United States
Merkel,NULL,Texas,United States
Merrill,NULL,Wisconsin,United States
Merseburg,NULL,NULL,Germany
Merthyr Tydfil,NULL,NULL,Wales
Merton,NULL,NULL,England
Mertzon,NULL,Texas,United States
Mesa,NULL,Arizona,United States
Mesnil-Theribus,NULL,NULL,France
Messina,NULL,NULL,Italy
Messina,NULL,Sicily,Italy
Metairie,NULL,Louisiana,NULL
Meteren,NULL,NULL,France
Metuchen,NULL,New Jersey,United States
Metz,NULL,NULL,France
Metz,NULL,NULL,Germany
Meudon,NULL,NULL,France
Mexia,NULL,Texas,United States
Mexico City,NULL,NULL,Mexico
Mexico City,NULL,NULL,New Spain
Meyersdale,NULL,Pennsylvania,United States
Mezieres,NULL,NULL,France
Meziers,NULL,NULL,France
Miami,NULL,Florida,United States
Miami,NULL,Oklahoma,United States
Miami Beach,NULL,Florida,United States
Michigan City,NULL,Indiana,United States
Middle Island,NULL,New York,United States
Middle Village,NULL,New York,United States
Middleboro,NULL,Massachusetts,United States
Middleton,NULL,New Jersey,United States
Middletown,NULL,Connecticut,NULL
Middletown,NULL,Connecticut,United States
Middletown,NULL,New Jersey,United States
Middletown,NULL,New York,NULL
Middletown,NULL,New York,United States
Middletown,NULL,Ohio,United States
Middletown,NULL,Virginia,United States
Middletown,Paradise,Rhode Island,United States
Midvale,NULL,Utah,United States
Mijdrecht,NULL,NULL,Netherlands
Mikado,NULL,Michigan,United States
Milan,NULL,NULL,Italy
Milan,NULL,Illinois,United States
Milbrae,NULL,California,United States
Milford,NULL,NULL,England
Milford,NULL,Connecticut,United States
Milford,NULL,Massachusetts,United States
Milford,NULL,New Jersey,United States
Mill Valley,NULL,California,United States
Millbrook,NULL,New York,United States
Milledgeville,NULL,Georgia,United States
Millersburg,NULL,Ohio,United States
Millerton,NULL,New York,United States
Milly,NULL,NULL,France
Milton,NULL,Connecticut,United States
Milton,NULL,Massachusetts,United States
Milton,NULL,Ohio,United States
Milton,NULL,Pennsylvania,United States
Milton,NULL,West Virginia,United States
Milwaukee,NULL,Wisconsin,United States
Mincy,NULL,Missouri,United States
Minden,NULL,NULL,Germany
Mineola,NULL,New York,United States
Minneapolis,NULL,Kansas,United States
Minneapolis,NULL,Minnesota,NULL
Minneapolis,NULL,Minnesota,United States
Minsk,NULL,NULL,Russia
Mirano,NULL,NULL,Italy
Mishawaka,NULL,Indiana,United States
Missoula,NULL,Montana,United States
Mitchellville,NULL,Maryland,United States
Moberly,NULL,Missouri,United States
Mobile,NULL,Alabama,United States
Modesto,NULL,California,United States
Moline,NULL,Illinois,United States
Monadnock,NULL,New Hampshire,United States
Monahans,NULL,Texas,United States
Monarch,NULL,Wyoming,United States
Monchy-St-Eloi,NULL,NULL,France
Monero,NULL,New Mexico,United States
Moneymusk,NULL,NULL,Scotland
Monhegan,NULL,Maine,United States
Monhegan Island,NULL,Maine,United States
Monroe,NULL,Michigan,United States
Monroe,NULL,Washington,United States
Monroe Falls,NULL,Ohio,United States
Monson,NULL,Maine,United States
Mont-Saint-Père,NULL,NULL,France
Montabour,NULL,NULL,Germany
Montauk,NULL,New York,United States
Montauk Point,NULL,New York,United States
Montbazon,NULL,NULL,France
Montbeliard,NULL,NULL,France
Montclair,NULL,New Jersey,United States
Monte Carlo,NULL,NULL,Monaco
Montecito,NULL,California,United States
Monterey,NULL,California,United States
Monterey,NULL,Massachusetts,United States
Monterrey,NULL,NULL,Mexico
Montevideo,NULL,NULL,Uruguay
Montevideo,NULL,Minnesota,United States
Montfort-sur-Risle,NULL,Eure,France
Montgomery,NULL,Alabama,United States
Montgomery,NULL,Pennsylvania,United States
Monticello,NULL,Indiana,United States
Monticello,NULL,Iowa,United States
Montigny-sur-Loing,NULL,NULL,France
Montone,NULL,Umbria,Italy
Montpelier,NULL,Vermont,United States
Montpon-Menesterol,NULL,NULL,France
Montreal,NULL,NULL,Canada
Montreal,NULL,Quebec,Canada
Montreux,NULL,NULL,Switzerland
Montrose,NULL,Pennsylvania,United States
Moorestown,NULL,New Jersey,United States
Mooresville,NULL,North Carolina,United States
Moose Jaw,NULL,Saskatchewan,Canada
Mora,NULL,NULL,Sweden
Morange,NULL,NULL,Germany
Morelia,NULL,NULL,Mexico
Morenci,NULL,Arizona,United States
Morgan,NULL,Vermont,United States
Morgan Hill,NULL,California,United States
Morgantown,NULL,West Virginia,United States
Morovis,NULL,NULL,Puerto Rico
Morris,NULL,Illinois,United States
Morrisania,NULL,New York,United States
Morristown,NULL,New Jersey,United States
Morristown,NULL,New York,United States
Morristown,NULL,Vermont,United States
Morrisville,NULL,North Carolina,United States
Morven,NULL,North Carolina,United States
Moscow,NULL,NULL,Russia
Moscow,NULL,NULL,U.S.S.R.
Moscow,NULL,Idaho,United States
Mossy Creek,White County,Georgia,United States
Moudon,NULL,NULL,Switzerland
Mouhet,NULL,NULL,France
Moultrie,NULL,Georgia,United States
Mound,NULL,Minnesota,United States
Mount Airy,NULL,Pennsylvania,United States
Mount Carmel,NULL,Connecticut,United States
Mount Carmel,NULL,Utah,United States
Mount Clemens,NULL,Michigan,United States
Mount Desert,NULL,Maine,United States
Mount Desert Island,NULL,Maine,United States
Mount Healthy,NULL,Ohio,United States
Mount Holly,NULL,New Jersey,United States
Mount Kisco,NULL,New York,United States
Mount Laurel,NULL,New Jersey,United States
Mount Pleasant,NULL,Iowa,United States
Mount Pleasant,NULL,Ohio,United States
Mount Pleasant,NULL,South Carolina,United States
Mount St. Helena,NULL,California,United States
Mount Vernon,NULL,Illinois,United States
Mount Vernon,NULL,New York,United States
Mount Vernon,NULL,Washington,United States
Mountain View,NULL,Arkansas,United States
Moylan,NULL,Pennsylvania,United States
Mt. Adams,NULL,Ohio,United States
Mt. Airy,NULL,Maryland,United States
Mt. Desert Island,NULL,Maine,United States
Mt. Kisco,Westchester,New York,NULL
Mt. Lebanon,NULL,Pennsylvania,United States
Much Hadham,NULL,Hertfordshire,England
Mudtown,NULL,Illinois,United States
Muhlen-on-Neckar,NULL,NULL,Germany
Mukden,NULL,NULL,Japan
Mulhouse,NULL,NULL,France
Mulhouse,NULL,Alsace,France
Mulligar,NULL,NULL,Ireland
Muncie,NULL,Indiana,United States
Munich,NULL,NULL,Germany
Munising,NULL,Michigan,United States
Munkacs,NULL,NULL,Hungary
Munster,NULL,NULL,Germany
Murano,NULL,NULL,Italy
Murfreesboro,NULL,Tennessee,United States
Muro Lucano,NULL,NULL,Italy
Muscatine,NULL,Iowa,United States
Muskegon,NULL,Michigan,United States
Muskogee,NULL,Oklahoma,United States
Myrtle Point,NULL,Oregon,United States
Mystic,NULL,Connecticut,United States
Mytilene,NULL,NULL,Greece
Nacogdoches,NULL,Texas,United States
Nadlac?,NULL,NULL,Hungary
Nagano,NULL,NULL,Japan
Nageezi,NULL,New Mexico,United States
Nageezi,Navajo Nation,New Mexico,United States
Nageezi,Navajo Reservation (Dineteh),New Mexico,United States
Nagoya,NULL,NULL,Japan
Nagoya,NULL,Aichi Prefecture,Japan
Nahant,NULL,Massachusetts,United States
Nahariya,NULL,NULL,Israel
Namur,NULL,NULL,Belgium
Nancy,NULL,NULL,France
Nantes,NULL,NULL,France
Nantes,NULL,Loire-Atlantique,France
Nantucket,NULL,Massachusetts,United States
Naperville,NULL,Illinois,United States
Naples,NULL,NULL,Italy
Naples,NULL,Florida,NULL
Naples,NULL,Florida,United States
Naples,NULL,New York,United States
Napoleon,NULL,Ohio,United States
Nashua,NULL,New Hampshire,United States
Nashville,NULL,Indiana,United States
Nashville,NULL,Tennessee,NULL
Nashville,NULL,Tennessee,United States
Nassau,NULL,NULL,Bahamas
Nassau,NULL,NULL,Germany
Nassau,NULL,New York,United States
Natick,NULL,Massachusetts,United States
National City,NULL,California,United States
Natosha,NULL,Wisconsin,United States
Naugatuck,NULL,Connecticut,United States
Naumberg,NULL,NULL,Germany
Naushon Island,NULL,Massachusetts,United States
