ConstituentID,TextType,BioDsp,PrimaryBio
34,Artist Biography,"<p>Born February 14, 1812 (or 1817), in Sparta, N.Y. Studied with his brother Frederick and with Thomas Cummings. Lived in New York, 1831&ndash;38. Served as ""portrait and botanical artist"" on the Wilkes around-the-world expedition, 1838&ndash;42. Lived in Washington, D.C., 1842&ndash;46. Prepared over half the illustrations for Wilkes's six-volume <i>Narrative of the United States Exploring Expedition</i> (1844&ndash;-45). Married Elizabeth Hill Kennedy of Alexandria, 1845. Died January 5, 1846, in Washington, D.C.</p><p>Andrew J. Cosentino and Henry H. Glassie <i>The Capital Image: Painters in Washington, 1800&ndash;1915</i> (Washington, D.C.: Smithsonian Institution Press for the National Museum of American Art, 1983)</p>",NULL
34,Luce Artist Biography,"<p>Alfred T. Agate learned the art of miniature painting from the artist Thomas Seir Cummings. He spent almost a decade working in New York, exhibiting several times at the National Academy of Design. In 1838 he joined the Scientific Corps of the United States Exploring Expedition as a portraitist and botanical artist. He spent four years traveling around the world, mapping the coast of Oregon, documenting hundreds of islands in the Pacific, and collecting more than sixty thousand plant and bird specimens. On his return, Agate settled in Washington, D.C., and prepared his drawings for the expedition＊s extensive report. The artifacts and specimens brought back later became the founding collection of the Smithsonian Institution.</p>",NULL
36,Luce Artist Biography,"<p>Deborah Aguado＊s father was an ironworker, and she became interested in working with metal at a very young age. She attended the Academy of Arts in Salzburg, where she received the State Honor Award in 1973. Her bold pieces of jewelry are primarily crafted from silver and gold and often incorporate precious stones. Using architectural motifs, Aguado creates small pieces that explore geometric structure and movement.</p>",NULL
40,Artist Biography,"<p>Sculptor.  Aitken was honored with awards from the National Academy of Design and the New York Architectural League, among other groups.  The figure group, <i>The Flame</i> (1911) and the bronze doors he executed for the John W. Gates mausoleum (Woodlawn Cemetery, N.Y.) are good examples of his work.</p><p>Joan Stahl <i>American Artists in Photographic Portraits from the Peter A. Juley & Son Collection</i> (Washington, D.C. and Mineola, New York: National Museum of American Art and Dover Publications, Inc., 1995)</p>",NULL
40,Luce Artist Biography,"<p>Robert Aitken trained as a painter at the Mark Hopkins Institute of Art in <st1:place><st1:City>San Francisco</st1:City>, <st1:State>California</st1:State></st1:place>. He grew interested in sculpture in 1897 while studying in <st1:City><st1:place>Paris</st1:place></st1:City>, and he went on to teach at the National Academy of Design in <st1:City><st1:place>New York City</st1:place></st1:City>. Some of Aitken＊s famous works include monuments to the Navy and to President William McKinley.</p>",NULL
45,Artist Biography,"<p>The daughter of a furniture manufacturer, Anni Albers (n&#233;e Fleischmann) was born in Berlin.  After studying art with a private tutor, and then with impressionist painter Martin Brandenburg, she continued her training at the School of Applied Art in Hamburg and the Bauhaus in Weimar and Dessau.  At the Weimar Bauhaus she met abstract artist Josef Albers, whom she married in 1925.  She was a part-time instructor and acting director of the Bauhaus weaving workshop from 1930 to 1933.  The couple left Nazi Germany and accepted teaching positions at Black Mountain College, North Carolina, where Anni Albers was an assistant professor of art from 1933 to 1949.</p><p>Albers was the first weaver to have a solo exhibition at the Museum of Modern Art, in 1949, and the second recipient of the American Craft Council's Fold Medal for ""uncompromising excellence"" in 1980. </p><p>Kenneth R. Trapp and Howard Risatti <i>Skilled Work: American Craft in the Renwick Gallery</i> (Washington, D.C.: National Museum of American Art with the Smithsonian Institution Press, 1998)</p>",NULL
46,Artist Biography,"<p>An elementary school teacher for twelve years, and an instructor at the Bauhaus from 1923  until 1933, Josef Albers was one of the most influential artist-educators to immigrate to the United States during the 1930s. Following early academic training at the Royal Art School in Berlin (1913&ndash;15), the <i>Kunstgewerbeschule</i> in Essen (part-time from 1916 to 1919), and the Art Academy in Munich (1919&ndash;20), Albers turned in 1920 to the innovative atmosphere of the Weimar Bauhaus. There he began his experimental work as an abstract artist. After three years as a student, he was hired to teach the famed Vorkurs, the introductory class that immersed students in the principles of design and the behavior of materials.</p><p>Albers was convinced that students needed to develop an understanding of ""the static and dynamic properties of materials. . . through direct experience."" His students made constructions with wire netting, matchboxes, phonograph needles, razor blades, and other unusual materials. They also visited workshops where craftsmen worked daily with the structural and behavioral characteristics of industrial and natural materials.(1)</p><p>In his own work, Albers investigated color theory and composition. He began to explore mathematical proportions as a way to achieve balance and unity in his art. Yet, Albers did not aim to be a purely analytical painter. Although he had not taken classes with either Klee or Kandinsky as a Bauhaus student, and did not profess metaphysical concerns, Albers believed that Art is spirit, and only the quality of spirit gives the arts an important place in. . . life.""(2)</p><p>Albers had come to his own brand of abstraction over the course of many years. By 1908, he had discovered Matisse and C&#233;zanne, and in Berlin he encountered work by Munch, van Gogh, the German Expressionists, Delaunay, and the Italian Futurists. Initially an expressionist, Albers began experimenting with abstract principles and unusual materials about 1923. His glass assemblages of these formative years explored the possibilities of stained, sandblasted, and constructed arrangements. They are remarkable for their deft incorporation of such ""accidental"" effects as ripples and bubbles&#151;inherent in the medium itself&#151;into sophisticateddesigns that explored balance, translucence, and opacity.</p><p>Albers had weathered Bauhaus moves from Weimar to Dessau, and then to Berlin, remaining steadfast even after Walter Gropius and Laszlo Moholy-Nagy left in 1928. In 1933, when the Nazis forced the closing of the Berlin Bauhaus, Albers left for America where he introduced Bauhaus concepts of art and design to the newly formed experimental community of Black Mountain College in North Carolina.</p><p>After fifteen years he left Black Mountain and, in 1950, became chairman of the Department of Design at Yale. <i>On Tideland,</i> painted between 1947 and 1955, marks this transition and was painted concurrently with the earliest examples of his well-known series, <i>Homage to the Square.</i></p><p>Albers, always a careful craftsman, was concerned that future generations understand his working methods. He often documented, on the reverse of the fiberboard panels he preferred for his paintings, the pigments, brands, varnishes, and grounds he had used in making the painting. Fascinating notations document his spatial proportions and the mathematic schemes he incorporated in each work. <i>On Tideland,</i> for example, was painted according to ""Scheme M,"" in which twenty units of vertical form balance thirty units of horizontal form. Although concerned with a severely restricted format in his own work, Albers admitted other approaches: ""Any form [of art] is acceptable if it is true,"" he stated. ""And if it is true, it's ethical and aesthetic.""(3)</p><p>An original member of the American Abstract Artists, Albers showed annually throughout the group's formative years.</p><br /><br /><p>1. Josef Albers, <i>Concerning Fundamental Design.</i>, in Herbert Bayer, Walter Gropius, and Ise Gropius, eds., <i>Bauhaus: 1919&#150;1928</i> (Boston: Charles T Branford Co., 1959), pp.114&#8211;21.</p><p>2. Josef Albers, ""A Note on the Arts inEducation,"" <i>American Magazine ofArt</i> (April 1936): 233.</p><p>3. Katharine Kuh, ""Josef Albers,"" in <i>The Artist's Voice: Talks with Seventeen Artists</i> (New York: Harper and Row, 1962), p.12.</p><p>Virginia M. Mecklenburg <i>The Patricia and Phillip Frost Collection: American Abstraction 1930&ndash;1945</i> (Washington, D.C.: Smithsonian Institution Press for the National Museum of American Art, 1989)</p>",NULL
47,Luce Artist Biography,"<p>Francisco Albert grew up in <st1:country-region><st1:place>Spain</st1:place></st1:country-region> and studied art at the <st1:place><st1:PlaceType>Academy</st1:PlaceType> of <st1:PlaceName>San Carlos</st1:PlaceName></st1:place> in <st1:country-region><st1:place>Valencia</st1:place></st1:country-region>. He had his first exhibition in <st1:State><st1:place>Madrid</st1:place></st1:State> when he was only twelve and soon after traveled to northeast <st1:country-region><st1:place>Mexico</st1:place></st1:country-region> to settle in <st1:City><st1:place>Tampico</st1:place></st1:City>. Albert worked in bronze, marble, and stone, and carved one of the largest sculptures ever made from obsidian, a type of black crystal. In 1946?the artist?had an exhibition of his work at the Smithsonian American Art Museum. The show was sponsored by?the Mexican ambassador to the <st1:country-region><st1:place>United States</st1:place></st1:country-region>, Se?or D. Antonio Espinosa de los Monteros.</p>",NULL
50,Luce Artist Biography,"<p>When he was twelve, Dewey Albinson was shot in the leg by a group of boys who had stolen his bicycle. He left high school and spent a lot of time at home, sketching and painting to fill his free time. He studied at the Art Students League in New York, then spent most of the 1920s and ＊30s painting the towns, landscapes, and mines of Minnesota. He joked once that he had painted ※every outhouse from Minneapolis to Canada§ (Loran, ※Minnesota Artists,§ <i>American Magazine of Art</i>, January 1938). Albinson created images for the Public Works of Art Project and also acted as state director of the Minnesota educational division. In the late 1930s he spent several summers as a ※recluse§ on a small island on Lake Superior, leaving in the fall only after an inch of ice had formed in his wash pail. Albinson lived the last years of his life in Mexico, where he suffered paralysis caused by his childhood injury and had to pull himself around on a dolly in order to paint. (Swanson, ※A Study of Dewey Albinson,§ n.d., unpublished ms., SAAM curatorial file)</p>",NULL
52,Luce Artist Quote,"A painter am I <BR>Of all things <BR>An artist who sees <BR>The door and chair <BR>And sees on smooth things a flaw there <BR>And sees on round things a hollow there... <BR>And colors are not just colors to him <BR>But each a dream in a fantasy <BR>That makes unreal this world of yours to him <BR>To this painter man. <BR>(1930s, Ivan Albright Archive, The Art Institute of Chicago, reprinted in Donnell, <I>Ivan Albright</I>, 1997)",NULL
52,Luce Artist Biography,"<p>Ivan Albright's father was a painter, and the young artist often modeled for him, alongside his identical twin brother, Marvin. Ivan grew tired of people asking if he was going to be an artist like his father, and so decided to study architecture instead. He finally realized that painting was his ""only resource,"" however, and transferred to art school, closely followed by his brother. They built adjoining studios in Warrington, Illinois, and had a very supportive relationship, even though each twin kept the other from entering his workspace. Albright was fascinated by the aging process and created images of everyday people that highlighted every wrinkle, hair, blemish, and bulge. He worked slowly, completing one square inch every ten hours, and some canvases took more than a decade to finish. He enjoyed painting figures and still lifes, and when asked to explain why he did not create many landscapes, he said: ""I find that my thumb close up is as big as the highest mountains . . . I would in that case rather paint my thumb, because I can get around it easier and see what it is all about."" (Van der Marck, ""Ivan Albright: More than Meets the Eye,"" <i>Art in America</i>, 1977; Donnell, <i>Ivan Albright</i>, 1997)</p>",NULL
