City,County,State,Country
NULL,NULL,Vermont,United States
NULL,NULL,Vienna,NULL
NULL,NULL,Virginia,United States
NULL,NULL,Washington,United States
NULL,NULL,West Virginia,United States
NULL,NULL,Wisconsin,United States
NULL,NULL,Wyoming,United States
NULL,Akwesasne Indian Territory,New York,United States
NULL,Albemarle County,Virginia,NULL
NULL,Albemarle County,Virginia,United States
NULL,Augusta County,Virginia,United States
NULL,Austin County,Texas,United States
NULL,Beaver County,Pennsylvania,United States
NULL,Benton County,Missouri,United States
NULL,Bernallio County,New Mexico,United States
NULL,Breathitt County,Kentucky,United States
NULL,Bucks County,Pennsylvania,United States
NULL,Buncombe County,North Carolina,United States
NULL,Cape Cod,Massachusetts,United States
NULL,Chateaguy,New York,NULL
NULL,Chester County,Pennsylvania,United States
NULL,Cheyenne Reservation,Oklahoma,United States
NULL,Cook County,Illinois,United States
NULL,Crawford County,Georgia,United States
NULL,Dade County,Florida,United States
NULL,Dane County,Wisconsin,United States
NULL,Delaware County,Pennsylvania,United States
NULL,Devonshire,NULL,England
NULL,Door County,Wisconsin,United States
NULL,Duval County,Florida,United States
NULL,East Feliciana Parish,Louisiana,United States
NULL,Fentress County,Tennessee,United States
NULL,Forsyth County,North Carolina,United States
NULL,Fulton County,Illinois,United States
NULL,Henderson County,North Carolina,United States
NULL,Hunterdon County,New Jersey,United States
NULL,Jackson County,Michigan,United States
NULL,Kerr County,Texas,United States
NULL,Lancaster County,Pennsylvania,United States
NULL,Lewis County,New York,United States
NULL,Long Island,New York,United States
NULL,Los Angeles County,California,United States
NULL,"Lower Brule, Sioux Reservation",South Dakota,United States
NULL,Lunenberg County,Virginia,United States
NULL,Madison County,North Carolina,United States
NULL,Marin County,California,United States
NULL,Morgan County,Ohio,United States
NULL,Multnomah County,Oregon,United States
NULL,Oneida County,New York,United States
NULL,Otsego,New York,United States
NULL,Perry County,Alabama,United States
NULL,Perry County,Kentucky,United States
NULL,Placer County,California,United States
NULL,Preston County,Virginia,United States
NULL,Provence,NULL,France
NULL,Queen Anne's County,Maryland,United States
NULL,Santa Cruz,California,United States
NULL,Seneca County,New York,United States
NULL,Shawnee County,Kansas,United States
NULL,Sibley County,Minnesota,United States
NULL,Siskiyou County,California,United States
NULL,Sonoma County,California,United States
NULL,St. Mary's,Maryland,United States
NULL,St. Thomas,NULL,Virgin Islands
NULL,Washington County,New York,United States
NULL,Webster County,Mississippi,United States
NULL,Westmoreland County,Virginia,United States
NULL,Woodbury County,Iowa,United States
NULL,Worcester County,Massachusetts,United States
NULL,Yazoo County,Mississippi,United States
NULL,Yellowstone National Park,NULL,United States
Abbeville,NULL,NULL,France
Abbeyleix,NULL,NULL,Ireland
Aberdeen,NULL,NULL,Scotland
Aberdeen,NULL,Mississippi,United States
Aberdeen,NULL,South Dakota,United States
Aberdeen,NULL,Washington,United States
Abilene,NULL,Texas,United States
Abington,NULL,Indiana,United States
Abington,NULL,Pennsylvania,United States
Abiquiu,NULL,New Mexico,United States
Accokeek,NULL,Maryland,United States
Accord,NULL,New York,United States
Accri,NULL,NULL,Italy
Acoma,NULL,New Mexico,United States
Acoma Pueblo,NULL,New Mexico,United States
Ada,NULL,Ohio,United States
Adam Isle,NULL,NULL,France
Adams,NULL,Massachusetts,United States
Addis Ababa,NULL,NULL,Ethiopia
Adelaide,NULL,NULL,Australia
Agapova,NULL,NULL,Russia
Aguascalientes,NULL,NULL,Mexico
Aiguillon,NULL,NULL,France
Ainwick,NULL,NULL,England
Aix-en-Provence,NULL,NULL,France
Akeley,NULL,Minnesota,United States
Aker,NULL,NULL,Norway
Akron,NULL,Ohio,United States
Al-Biar,NULL,NULL,Algeria
Alameda,NULL,California,United States
Alanno,NULL,NULL,Italy
Albany,NULL,California,United States
Albany,NULL,New York,United States
Albia,NULL,Iowa,United States
Albion,NULL,California,United States
Albion,NULL,Michigan,United States
Albuquerque,NULL,New Mexico,United States
Alcamo,NULL,NULL,Italy
Alcoa,NULL,Tennessee,United States
Aledo,NULL,Illinois,United States
Alexander,NULL,North Carolina,United States
Alexandria,NULL,NULL,Egypt
Alexandria,NULL,Indiana,United States
Alexandria,NULL,Louisiana,United States
Alexandria,NULL,Minnesota,United States
Alexandria,NULL,Virginia,United States
Alfred,NULL,New York,United States
Alfred Station,NULL,New York,United States
Algiers,NULL,NULL,Algeria
Algiers,NULL,Louisiana,United States
Algoma,NULL,Wisconsin,United States
Alhambra,NULL,California,United States
Aliceville,NULL,Alabama,United States
Alkmaar,NULL,NULL,Netherlands
Allegan,NULL,Michigan,United States
Allegheny,NULL,Pennsylvania,United States
Allegheny City,NULL,Pennsylvania,United States
Allendale,NULL,New Jersey,United States
Allentown,NULL,Pennsylvania,United States
Alliance,NULL,Ohio,United States
Almeria,NULL,NULL,Spain
Almeria,NULL,Andalusia,Spain
Almonte,NULL,Ontario,Canada
Alpine,NULL,New York,United States
Alsen,NULL,New York,NULL
Alta Loma,NULL,California,United States
Altadena,NULL,California,United States
Altmar,NULL,New York,United States
Alton,NULL,New York,United States
Altoona,NULL,Pennsylvania,United States
Alverstoke,NULL,NULL,England
Amagansett,NULL,New York,United States
Amagansett,Suffolk,New York,United States
Amarillo,NULL,Texas,United States
Ambach,NULL,NULL,Germany
Ambler,NULL,Pennsylvania,United States
Amenia,NULL,New York,United States
Amersfoort,NULL,NULL,Netherlands
Ames,NULL,Iowa,United States
Amesbury,NULL,Massachusetts,United States
Amherst,NULL,Massachusetts,United States
Amherst,NULL,New Hampshire,United States
Amiens,NULL,NULL,France
Amityville,NULL,New York,United States
Ammerland,NULL,NULL,Germany
Amoy,NULL,NULL,China
Amphiklia,NULL,NULL,Greece
Amsterdam,NULL,NULL,Holland
Amsterdam,NULL,NULL,Netherlands
Amsterdam,NULL,New York,NULL
Amsterdam,NULL,New York,United States
Anadarko,Redstone Community,Oklahoma,United States
Anamosa,NULL,Iowa,United States
Anascaul,NULL,NULL,Ireland
Anchorage,NULL,Alaska,United States
Ancona,NULL,NULL,Italy
Andelys,NULL,NULL,France
Anderson,NULL,Indiana,United States
Andover,NULL,Massachusetts,United States
Angel Island,NULL,California,United States
Angeles City,NULL,NULL,Philippines
Angeles Pampanga,NULL,NULL,Philippines
Angola,NULL,California,NULL
Angola,NULL,Indiana,NULL
Angouleme,NULL,NULL,France
Angri,NULL,NULL,Italy
Angus,NULL,Iowa,United States
Ann Arbor,NULL,Michigan,United States
Annandale,NULL,New Jersey,United States
Annandale,NULL,Virginia,United States
Annandale-on-Hudson,NULL,New York,United States
Annapolis,NULL,Maryland,United States
Anniston,NULL,Alabama,United States
Annville,NULL,Pennsylvania,United States
Anson,NULL,Texas,United States
Antigo,NULL,Wisconsin,United States
Antwerp,NULL,NULL,Belgium
Antwerp,NULL,NULL,Flanders
Aomori,NULL,NULL,Japan
Apache,NULL,Oklahoma,United States
Apodaca,NULL,New Mexico,United States
Appledore,NULL,New Hampshire,United States
Appleton,NULL,Minnesota,United States
Appleton,NULL,Wisconsin,United States
Appleton City,NULL,Missouri,United States
Aptos,NULL,California,United States
Arachova,NULL,NULL,Greece
Arad,NULL,NULL,Hungary
Arbois,NULL,NULL,France
Arcadia,NULL,California,United States
Arcata,NULL,California,United States
Archbold,NULL,Ohio,United States
Arcola,NULL,Illinois,United States
Arcola,NULL,Saskatchewan,Canada
Arden,NULL,North Carolina,United States
Arden,Buncombe County,North Carolina,United States
Ardmore,NULL,Pennsylvania,United States
Ardsley,NULL,New York,United States
Ardsley,Westchester County,New York,United States
Ardsley-on-Hudson,NULL,New York,United States
Argentan,NULL,Orne,France
Arkville,NULL,New York,United States
Arlington,NULL,Massachusetts,United States
Arlington,NULL,New Jersey,United States
Arlington,NULL,Vermont,United States
Arlington,NULL,Virginia,United States
Arlington Heights,NULL,Massachusetts,United States
Arnegard,NULL,North Dakota,United States
Arnold,NULL,Nottinghamshire,England
Arnolds Park,NULL,Iowa,United States
Arpino,NULL,Lazio,Italy
Arranmore,Donegal,NULL,Ireland
Arroyo Hondo,NULL,New Mexico,NULL
Arroyo Seco,NULL,New Mexico,United States
Artesia,NULL,New Mexico,United States
Arthur,NULL,Illinois,United States
Asbury Park,NULL,New Jersey,United States
Asbury Park,Monmouth,New Jersey,United States
Asheville,NULL,North Carolina,United States
Ashfield,NULL,Massachusetts,United States
Ashland,NULL,Massachusetts,United States
Ashland,NULL,Ohio,United States
Ashland,NULL,Oregon,United States
Ashley Falls,NULL,Massachusetts,United States
Ashtabula,NULL,Ohio,United States
Ashtabula Harbor,NULL,Ohio,United States
Ask,NULL,NULL,Denmark
Asnieres-sur-Seine,NULL,NULL,France
Aspen,NULL,Colorado,United States
Aspers,NULL,Pennsylvania,United States
Astoria,NULL,Illinois,United States
Astoria,NULL,New York,United States
Astoria,NULL,Oregon,United States
Astoria,Queens,New York,United States
Astrakhan,NULL,NULL,Russia
Ataki,NULL,NULL,Russia
Atchison,NULL,Kansas,United States
Athens,NULL,NULL,Greece
Athens,NULL,Georgia,United States
Athens,NULL,Ohio,United States
Atlanta,NULL,Georgia,United States
Atlanta,NULL,Illinois,United States
Atlantic City,NULL,New Jersey,United States
Atlantic Highlands,NULL,New Jersey,United States
Atsugi,NULL,NULL,Japan
Attica,NULL,New York,United States
Attleboro,NULL,Massachusetts,United States
Attleborough,NULL,Pennsylvania,United States
Au Sable Forks,NULL,New York,United States
Auburn,NULL,Alabama,United States
Auburn,NULL,California,United States
Auburn,NULL,Illinois,United States
Auburn,NULL,Indiana,United States
Auburn,NULL,Maine,United States
Auburn,NULL,Nebraska,United States
Auburn,NULL,New York,United States
Auburn,NULL,Washington,United States
Auburndale,NULL,Massachusetts,United States
Aubusson,NULL,NULL,France
Auckland,NULL,NULL,New Zealand
Augsburg,NULL,NULL,Germany
Augusta,NULL,Georgia,United States
Augusta,NULL,Maine,United States
Augusta,NULL,Missouri,United States
Aurora,NULL,Illinois,United States
Aussee,NULL,NULL,Netherlands
Austell,NULL,Georgia,United States
Austin,NULL,Illinois,United States
Austin,NULL,Texas,United States
Auver-sur-Oise,NULL,Siene-et-Oise,France
Auxerre,NULL,NULL,France
Ava,NULL,Ohio,United States
Avignon,NULL,NULL,France
Avoca,NULL,Nebraska,United States
Avon,NULL,Illinois,United States
Avon-by-the-Sea,NULL,New Jersey,United States
Ayr,NULL,Ontario,Canada
Ayrshire,NULL,Iowa,United States
Aywaille,NULL,NULL,Belgium
Aztec,NULL,New Mexico,United States
Baarlo,NULL,NULL,Netherlands
Bacsbarsod,NULL,NULL,Hungary
Baden-Baden,NULL,NULL,Germany
Bagni di Lucca,NULL,NULL,Italy
Baiersbronn,NULL,NULL,Germany
Bainbridge Island,NULL,Washington,United States
Bakersfield,NULL,California,United States
Bakersville,NULL,North Carolina,United States
Baku,NULL,NULL,Russia
Baldwin,NULL,Louisiana,United States
Baldwyn,NULL,Mississippi,United States
Ballaghaderrin,NULL,NULL,Ireland
Baltic,NULL,Ohio,United States
Baltimore,NULL,Maryland,United States
Baltimore,NULL,Ohio,United States
Bamberg,NULL,NULL,Germany
Banchory,NULL,NULL,Scotland
Bandera,NULL,Texas,United States
Bangkok,NULL,NULL,Siam
Bangkok,NULL,NULL,Thailand
Bangor,NULL,Maine,United States
Bangor,NULL,Pennsylvania,United States
Bani,NULL,NULL,Dominican Republic
Bar Harbor,NULL,Maine,United States
Baraboo,NULL,Wisconsin,United States
Barberton,NULL,Ohio,United States
Barbizon,NULL,NULL,France
Barcelona,NULL,NULL,Spain
Barlae Mill,NULL,NULL,Scotland
Barnes,NULL,NULL,England
Barnsley,NULL,NULL,England
Barnstaple,NULL,NULL,England
Barrax,NULL,NULL,Spain
Barre,NULL,Vermont,United States
Barrington,NULL,Rhode Island,United States
Barrington,Kane County,Illinois,United States
Bartica,NULL,NULL,Guyana
Bartlett,NULL,Texas,United States
Bartlett,Cook County,Illinois,United States
Barto,NULL,Pennsylvania,United States
Bartonsville,NULL,Vermont,United States
Basco,NULL,Batanes,Philippines
Basel,NULL,NULL,Switzerland
Basking Ridge,NULL,New Jersey,United States
Bass River,NULL,Massachusetts,United States
Bassano,NULL,NULL,Italy
Batavia,NULL,Illinois,United States
Bath,NULL,NULL,England
Bath,NULL,Maine,United States
Bathgate,NULL,North Dakota,United States
Baton Rouge,NULL,Louisiana,United States
Battiest,McCurtain County,Oklahoma,United States
Battle Ground,NULL,Indiana,United States
Baxter Springs,NULL,Kansas,United States
Bay City,NULL,Michigan,United States
Bay Shore,NULL,New York,United States
Bay St. Louis,NULL,Mississippi,United States
Bay Village,NULL,Ohio,United States
Bayeux,NULL,NULL,France
Bayonne,NULL,NULL,France
Bayonne,NULL,Basses-Pyrenees,France
Bayonne,NULL,New Jersey,United States
Bayside,NULL,California,United States
Beach Grove,NULL,Indiana,United States
Beach Haven,NULL,New Jersey,United States
Beacon,NULL,New York,United States
Bear Creek,NULL,Alabama,United States
Bear Lake,NULL,Idaho,United States
Bearsville,NULL,New York,United States
Beaumont,NULL,California,NULL
Beaumont,NULL,California,United States
Beaumont,NULL,Texas,NULL
Beaumont,NULL,Texas,United States
Beaver Dam,NULL,Wisconsin,United States
Beavercreek,NULL,Ohio,United States
Beckley,NULL,West Virginia,United States
Bedford,NULL,NULL,England
Bedford,NULL,Indiana,United States
Bedford,NULL,Iowa,United States
Bedford,NULL,Massachusetts,United States
Bedford,NULL,New Hampshire,United States
Bedford,NULL,New York,United States
Bedford Village,NULL,New York,United States
Beechurst,NULL,New York,United States
Bega,NULL,NULL,Australia
Belchertown,NULL,Massachusetts,United States
Belding,NULL,Michigan,United States
Belgrade,NULL,NULL,Yugoslavia
Belgrade,NULL,Montana,United States
Bellaire,NULL,Michigan,United States
Bellaire,NULL,Ohio,United States
Belle Plaine,NULL,Iowa,United States
Bellefontaine,NULL,Ohio,United States
Bellefonte,NULL,Pennsylvania,United States
Bellevue,NULL,NULL,France
Bellingham,NULL,Washington,United States
Bellows Falls,NULL,Vermont,United States
Bellport,NULL,New York,United States
Belmar,NULL,New Jersey,United States
Belmond,NULL,Iowa,United States
Belmont,NULL,Massachusetts,United States
Belmont,NULL,Michigan,United States
Beloit,NULL,Wisconsin,United States
Belzoni,NULL,Mississippi,United States
Benbrook,NULL,Texas,United States
Bend,NULL,Oregon,United States
Bengal,NULL,NULL,India
Benicia,NULL,California,United States
Bennington,NULL,Vermont,United States
Benton,NULL,Alabama,United States
Benton Harbor,NULL,Michigan,United States
Bentzen,NULL,NULL,Germany
Berea,NULL,Kentucky,United States
Berea,NULL,Ohio,United States
Bergamo,NULL,NULL,Italy
Bergen,NULL,NULL,Norway
Bergen Heights,NULL,New Jersey,United States
Bergen-Belsen,NULL,NULL,Germany
Berkeley,NULL,California,NULL
Berkeley,NULL,California,United States
Berkley,NULL,California,United States
Berlin,NULL,NULL,Germany
Berlin,NULL,NULL,"Germany, Federal Republic of"
Berlin,NULL,New Hampshire,United States
Bern,NULL,NULL,Switzerland
Bern,NULL,Kansas,United States
Bernalillo,NULL,New Mexico,United States
Berndorf,NULL,NULL,Germany
Berneck,NULL,NULL,Germany
Berryville,NULL,Arkansas,United States
Berwick,NULL,Pennsylvania,United States
Berwyn,NULL,Illinois,United States
Berwyn,NULL,Pennsylvania,United States
Beryl,NULL,Utah,United States
Bessemer,NULL,Alabama,United States
Bethel,NULL,Connecticut,United States
Bethel,NULL,Pennsylvania,United States
Bethel,NULL,Vermont,United States
Bethesda,NULL,Maryland,United States
Bethlehem,NULL,New Hampshire,United States
Bethlehem,NULL,Pennsylvania,United States
Bethpage,NULL,New York,United States
Beverly,NULL,Kentucky,United States
Beverly,NULL,Massachusetts,United States
Beverly Hills,NULL,California,United States
Beverly Shores,NULL,Indiana,United States
Beverwyck,NULL,NULL,Netherlands
B_ziers,NULL,NULL,France
Biala,NULL,NULL,Poland
Biala,NULL,NULL,Russia
Bialystok,NULL,NULL,Russia
Biebrich,NULL,NULL,Germany
Bieltsy,NULL,NULL,Russia
Bigfork,NULL,Montana,United States
Bildsberg,NULL,NULL,Sweden
Billings,NULL,Montana,United States
Biloxi,NULL,Mississippi,United States
Binghamton,NULL,New York,United States
Birmingham,NULL,NULL,England
Birmingham,NULL,Alabama,United States
Birmingham,NULL,Michigan,United States
Bisbee,NULL,Arizona,United States
Bitterfeld,NULL,NULL,Germany
Bizen,NULL,NULL,Japan
Black Mountain,NULL,North Carolina,United States
Blackjack,NULL,Missouri,United States
Blacksburg,NULL,Virginia,United States
Blairstown,NULL,New Jersey,United States
Blanco Canyon,NULL,New Mexico,United States
Block Island,NULL,Rhode Island,United States
Blois,NULL,NULL,France
Bloomfield,NULL,Iowa,United States
Bloomfield,NULL,New Jersey,United States
Bloomfield Hills,NULL,Michigan,United States
Blooming Valley,NULL,Pennsylvania,United States
Bloomington,NULL,Illinois,United States
Bloomington,NULL,Indiana,United States
Bloomington,NULL,Wisconsin,United States
Blossburg,NULL,Pennsylvania,United States
Blowing Rock,NULL,North Carolina,United States
Blue Point,NULL,New York,United States
Bluefield,NULL,West Virginia,United States
Bluffton,NULL,Indiana,United States
Bluffton,NULL,South Carolina,United States
Blurton,NULL,Staffordshire,England
Boca Grande,NULL,Florida,United States
Boca Raton,NULL,Florida,United States
Bocking,NULL,NULL,England
Bogata,NULL,NULL,Colombia
Boiceville,NULL,New York,United States
Boise,NULL,Idaho,United States
Bolinas,NULL,California,United States
Bologna,NULL,NULL,Italy
Bologne,NULL,NULL,Italy
Bolton,NULL,NULL,England
Bolton,NULL,Connecticut,United States
Bolton Landing,NULL,New York,United States
Bolton-le-Moor,Lancashire,NULL,England
Bondio,NULL,NULL,Italy
Bonlanden bei Stuttgart,NULL,NULL,Germany
Bonn,NULL,NULL,Germany
Bonnieres-sur-Seine,NULL,NULL,France
Booklyn,NULL,New York,United States
Boom,NULL,NULL,Belgium
Boone,NULL,North Carolina,United States
Boothbay,NULL,Maine,United States
Boothbay Harbor,NULL,Maine,United States
Bordeaux,NULL,NULL,France
Bordeaux,NULL,Gironde,France
Bordentown,NULL,New Jersey,United States
Bordentown City,NULL,New Jersey,United States
Borghorst,NULL,NULL,Germany
Borisoglebsk,NULL,NULL,Russia
Borja,NULL,NULL,Spain
Borownica,NULL,NULL,Poland
Boston,NULL,Massachusetts,United States
Bottrop,NULL,NULL,Germany
Boulder,NULL,Colorado,NULL
Boulder,NULL,Colorado,United States
Boulder Creek,NULL,California,United States
Boulogne,NULL,NULL,France
Boulogne-sur-Mer,NULL,NULL,France
Boulogne-sur-Seine,NULL,NULL,France
Bound Brook,NULL,New Jersey,United States
Bourg-en-Bresse,NULL,NULL,France
Bourne,NULL,Massachusetts,United States
Bournemouth,NULL,NULL,England
Bovey,NULL,Minnesota,United States
Bowie,NULL,Texas,United States
Bowling Green,NULL,Ohio,United States
Boyertown,NULL,Pennsylvania,United States
Bozanquit,NULL,Ontario,Canada
Bozeman,NULL,Montana,United States
Bracciano,NULL,NULL,Italy
Bracigliano,NULL,NULL,Italy
Braddock,NULL,Pennsylvania,United States
Bradenton,NULL,Florida,United States
Bradford,NULL,NULL,England
Brainerd,NULL,Minnesota,United States
Branchville,NULL,Connecticut,United States
Brandon,NULL,Florida,United States
Brandywine,NULL,Maryland,United States
Brandywine,NULL,Ohio,United States
Branford,NULL,Connecticut,United States
Brasstown,NULL,North Carolina,United States
Bratslav,NULL,NULL,Russia
Brattleboro,NULL,Vermont,United States
Breau,NULL,NULL,France
Breckenridge,NULL,Minnesota,United States
Brecksville,NULL,Ohio,United States
Breda,NULL,NULL,Netherlands
Breddin,NULL,NULL,Germany
Bredfield,NULL,NULL,England
Bredsjo,NULL,NULL,Sweden
Bregnun,NULL,NULL,Poland
Bremen,NULL,NULL,Germany
Bremerton,NULL,Washington,United States
Brenham,NULL,Texas,United States
Breslau,NULL,NULL,Germany
Brest-Litovsk,NULL,NULL,Russia
Brewer,NULL,Maine,United States
Brewster,NULL,Massachusetts,United States
Brewster,NULL,New York,United States
Bricelyn,NULL,Minnesota,United States
Bridge of Allan,NULL,NULL,Scotland
Bridgehampton,NULL,New York,United States
Bridgeport,NULL,Alabama,United States
Bridgeport,NULL,Connecticut,United States
Bridgeport,NULL,Ohio,United States
Bridgeville,NULL,Delaware,United States
Bridgewater,NULL,Connecticut,United States
Bridgewater,NULL,Massachusetts,United States
Brighton,NULL,NULL,England
Brigus,NULL,Newfoundland,Canada
Brillion,NULL,Wisconsin,United States
Brisbane,NULL,California,United States
Bristnald's End,NULL,NULL,England
Bristol,NULL,NULL,England
Bristol,NULL,Pennsylvania,United States
Bristol,NULL,Rhode Island,United States
Brno,NULL,NULL,Czechoslovakia
Broby,NULL,NULL,Sweden
Brockenhurst,NULL,NULL,England
Brockton,NULL,Massachusetts,United States
Brompton,NULL,NULL,England
Bronson,NULL,Michigan,United States
Bronxville,NULL,New York,United States
Brookfield,NULL,Vermont,United States
Brookfield Center,NULL,Connecticut,United States
Brookhaven,NULL,Mississippi,United States
Brookhaven,NULL,New York,United States
Brookline,NULL,Massachusetts,United States
Brooklyn,NULL,New York,United States
Brooklyn,Kings,New York,United States
Brookville,NULL,Illinois,United States
Broomsgrove,NULL,NULL,England
Broons,NULL,NULL,France
Broseley,NULL,Missouri,United States
Browerville,NULL,Minnesota,United States
Brownstown,NULL,Pennsylvania,United States
Brownsville,NULL,California,United States
Brownsville,NULL,Texas,United States
Bruges,NULL,NULL,Belgium
Brunoviski,NULL,NULL,Lithuania
Brunswick,NULL,NULL,Germany
Brunswick,NULL,Maine,United States
Brunswick,NULL,Maryland,United States
Brussels,NULL,NULL,Belgium
Bruyeres,NULL,Vosges,France
Bryan,NULL,Ohio,United States
Bryn Mawr,NULL,Pennsylvania,United States
Buchanan,NULL,Virginia,United States
Bucharest,NULL,NULL,Romania
Buck Hill Falls,NULL,Pennsylvania,United States
Buckhannon,NULL,West Virginia,United States
Buckhead,NULL,Georgia,United States
Buckingham Valley,NULL,Pennsylvania,United States
Bucyrus,NULL,Ohio,United States
Buda,NULL,Texas,United States
Budapest,NULL,NULL,Austria-Hungary
Budapest,NULL,NULL,Hungary
Bude,NULL,NULL,England
Budingen,NULL,NULL,Germany
Buena Vista,NULL,Georgia,United States
Buenos Aires,NULL,NULL,Argentina
Buffalo,NULL,Kansas,United States
Buffalo,NULL,New York,NULL
Buffalo,NULL,New York,United States
Buffalo,Erie County,New York,United States
Buford,NULL,Georgia,United States
Buhl,NULL,NULL,Germany
Buitenzorg,NULL,NULL,Java
Bumble Bee,NULL,Arizona,United States
Burbank,NULL,California,United States
Burford,NULL,NULL,England
Burgettstown,NULL,Pennsylvania,United States
Burke,NULL,South Dakota,United States
Burlingame,NULL,California,United States
Burlington,NULL,Iowa,United States
Burlington,NULL,New Jersey,United States
Burlington,NULL,Vermont,United States
Burnham,Navajo Nation,New Mexico,United States
Burnsville,NULL,North Carolina,United States
Burri,NULL,Khartoum,Sudan
Burslem,NULL,NULL,England
Bushkill,NULL,Pennsylvania,United States
Bushnell,NULL,Illinois,United States
Busk,NULL,NULL,U.S.S.R.
Busseto,NULL,NULL,Italy
Butler,NULL,Pennsylvania,United States
Butte,NULL,Montana,United States
Buzenval,NULL,NULL,France
Buzeu,NULL,NULL,Romania
Cabin John,NULL,Maryland,United States
Cabo Rojo,NULL,NULL,Puerto Rico
Cadillac,NULL,Michigan,United States
Cadiz,NULL,Ohio,United States
Cadmus,NULL,Michigan,United States
Caen,NULL,NULL,France
Caines Ridge,NULL,Alabama,United States
Cainesville,NULL,Missouri,United States
Cairns,NULL,Queensland,Australia
Cairo,NULL,NULL,Egypt
Cairo,NULL,Illinois,United States
