City,County,State,Country
Prague,NULL,NULL,Czechoslovakia
Prairie View,NULL,Illinois,United States
Pratt,NULL,Kansas,United States
Prelouc,NULL,NULL,Austria
Prentice,NULL,Wisconsin,United States
Prentiss,NULL,Mississippi,United States
Prenzlau,NULL,NULL,Germany
Prescott,NULL,Arizona,United States
Preston,NULL,Connecticut,United States
Price,NULL,Utah,United States
Priego,NULL,NULL,Spain
Princeton,NULL,Massachusetts,United States
Princeton,NULL,New Jersey,United States
Princetown,NULL,New Jersey,United States
Pringle,NULL,Pennsylvania,United States
Proctor,NULL,Vermont,United States
Proddatur,NULL,Andhra Pradesh,India
Prospect Hill,NULL,North Carolina,United States
Prout's Neck,NULL,Maine,United States
Providence,NULL,Rhode Island,NULL
Providence,NULL,Rhode Island,United States
Provincetown,NULL,Massachusetts,United States
Provincetown,NULL,Pennsylvania,United States
Provo,NULL,Utah,United States
Prucisca,NULL,Croatia,Austria-Hungary
Pueblo,NULL,Colorado,United States
Pulborough,West Sussex,NULL,England
Pullman,NULL,Washington,United States
Punxsutawney,NULL,Pennsylvania,United States
Purcellville,NULL,Virginia,United States
Putnam Valley,NULL,New York,United States
Putney,NULL,Vermont,United States
Puy,NULL,NULL,France
Pylypcze,NULL,NULL,Ukraine
Quakertown,NULL,Pennsylvania,United States
Quebec,NULL,NULL,Canada
Quebec,NULL,Quebec,Canada
Quincey,NULL,NULL,France
Quincy,NULL,California,United States
Quincy,NULL,Florida,United States
Quincy,NULL,Illinois,United States
Quincy,NULL,Massachusetts,United States
Quines,NULL,NULL,France
Quito,NULL,NULL,Ecuador
Rabbit Hash,NULL,Kentucky,United States
Racine,NULL,Wisconsin,United States
Rackeve,NULL,NULL,Hungary
Radautz,NULL,NULL,Austria-Hungary
Radda,NULL,Tuscany,Italy
Radford,NULL,Virginia,United States
Rajaburi,NULL,NULL,Thailand
Raleigh,NULL,North Carolina,United States
Ramnicul-Sarat,NULL,NULL,Romania
Ramona,NULL,Oklahoma,United States
Ramsey,NULL,NULL,England
Rancho Bernardo,NULL,California,United States
Rancho Cucamonga,NULL,California,United States
Ranchos de Taos,NULL,New Mexico,United States
Ranchuelo,NULL,NULL,Cuba
Rand,NULL,West Virginia,United States
Randolph,NULL,Massachusetts,United States
Randolph,NULL,New Jersey,United States
Rantasalmi,NULL,NULL,Finland
Rantoul,NULL,Illinois,United States
Raton,NULL,New Mexico,United States
Rava-Russka,NULL,NULL,Poland
Ravenna,NULL,Ohio,United States
Ravenstruther,NULL,NULL,Scotland
Rawa Mazowiecka,NULL,NULL,Poland
Rawlins,NULL,Wyoming,United States
Raymond,NULL,Alabama,United States
Raymond,NULL,California,United States
Readfield,NULL,Maine,United States
Reading,NULL,NULL,England
Reading,NULL,Pennsylvania,United States
Reagantown,Westmoreland County,Pennsylvania,United States
Red Bank,NULL,New Jersey,United States
Red Bluff,NULL,California,United States
Redding,NULL,California,United States
Redding,NULL,Connecticut,United States
Redding Ridge,NULL,Connecticut,United States
Redhill,NULL,NULL,England
Redlands,NULL,California,United States
Redmond,NULL,Oregon,United States
Redmond,NULL,Washington,United States
Redondo Beach,NULL,California,United States
Redway,NULL,California,United States
Redwood Falls,NULL,Minnesota,United States
Reeds Ferry,NULL,New Hampshire,United States
Regensburg,NULL,NULL,Germany
Rego Park,NULL,New York,United States
Rehoboth,NULL,Massachusetts,United States
Rehovoth,NULL,NULL,Israel
Reims,NULL,NULL,France
Rennes,NULL,NULL,France
Reno,NULL,Nevada,United States
Rensselaerville,NULL,New York,United States
Renton,NULL,Washington,United States
Reston,NULL,Virginia,United States
Reudnitz,NULL,NULL,Germany
Reus,NULL,Catalonia,Spain
Revere,NULL,Massachusetts,United States
Reykjavik,NULL,NULL,Iceland
Rhinebeck,NULL,New York,United States
Ribeauville,NULL,NULL,France
Richfield,NULL,Ohio,United States
Richmond,NULL,NULL,England
Richmond,NULL,California,United States
Richmond,NULL,Indiana,United States
Richmond,NULL,Virginia,NULL
Richmond,NULL,Virginia,United States
Richmond Heights,NULL,Missouri,United States
Richmond Park,NULL,NULL,Jamaica
Ridge Crest,NULL,California,United States
Ridgefield,NULL,Connecticut,United States
Ridgefield,NULL,New Jersey,United States
Ridgefield,NULL,Washington,United States
Ridgewood,NULL,New Jersey,United States
Ridley Park,NULL,Pennsylvania,United States
Riesbach,NULL,NULL,Switzerland
Rifton,NULL,New York,United States
Riga,NULL,NULL,Latvia
Riga,NULL,NULL,Russia
Riga,Latvia,NULL,Russia
Rindge,NULL,New Hampshire,United States
Rio de Janeiro,NULL,NULL,Brazil
Riotinto,NULL,NULL,Spain
Ripon,NULL,Wisconsin,United States
Rive-de-Gier,Loire,NULL,France
River Edge,NULL,New Jersey,United States
River Falls,NULL,Wisconsin,United States
River Forest,NULL,Illinois,United States
Riverdale,NULL,Maryland,United States
Riverdale,NULL,New York,United States
Riverhead,NULL,New York,United States
Riverside,NULL,California,United States
Riverside,NULL,Illinois,United States
Riverton,NULL,New Jersey,United States
Rixford,NULL,NULL,Germany
Roanoke,NULL,Virginia,United States
Rochester,NULL,Indiana,United States
Rochester,NULL,Minnesota,United States
Rochester,NULL,New York,United States
Rochester,NULL,Ohio,United States
Rock Hill,NULL,New York,United States
Rock Island,NULL,Illinois,United States
Rock Springs,NULL,Wyoming,United States
Rock Tavern,NULL,New York,United States
Rockdale,NULL,Texas,United States
Rockford,NULL,Illinois,United States
Rockford,NULL,Indiana,United States
Rockingham,NULL,Georgia,United States
Rockland,NULL,Maine,United States
Rockport,NULL,Maine,United States
Rockport,NULL,Massachusetts,United States
Rockville,NULL,Connecticut,United States
Rockville,NULL,Indiana,United States
Rockville,NULL,Maryland,United States
Rockville,NULL,Utah,United States
Rockville Centre,NULL,New York,United States
Rodenbach,NULL,Bavaria,Germany
Rohnert Park,NULL,California,United States
Rohrersville,NULL,Maryland,United States
Rolling Fork,NULL,Mississippi,United States
Rome,NULL,NULL,Italy
Rome,NULL,Georgia,United States
Rome,NULL,Lazio,Italy
Rome,NULL,New York,United States
Rondout,NULL,New York,United States
Roosevelt,NULL,New Jersey,United States
Rorschach,NULL,NULL,Switzerland
Roselle,NULL,New Jersey,United States
Roselle Park,NULL,New Jersey,United States
Rosemont,NULL,Pennsylvania,United States
Rosendale,NULL,New York,United States
Rosenhayn,NULL,New Jersey,United States
Roslyn,NULL,New York,United States
Roslyn Estates,NULL,New York,United States
Ross,NULL,California,NULL
Ross,NULL,California,United States
Rossville,NULL,New York,United States
Rostock,NULL,NULL,Germany
Roswell,NULL,Georgia,United States
Roswell,NULL,New Mexico,United States
Rotterdam,NULL,NULL,Netherlands
Rouen,NULL,NULL,France
Rouen,NULL,Seine-Maritime,France
Rough Rock,NULL,Arizona,United States
Round Hill,NULL,Nova Scotia,Canada
Round Hill,NULL,Virginia,United States
Round Pond,NULL,Maine,United States
Rouvres,NULL,NULL,France
Rowayton,NULL,Connecticut,United States
Rowland's Castle,NULL,NULL,England
Roxborough,NULL,Pennsylvania,United States
Roxbury,NULL,Connecticut,United States
Roxbury,NULL,Massachusetts,United States
Royal Oak,NULL,Michigan,United States
Royalton,NULL,Indiana,NULL
Rueil,NULL,NULL,France
Ruidoso,NULL,New Mexico,United States
Rush City,NULL,Minnesota,United States
Rushville,NULL,Illinois,United States
Rutherford,NULL,New Jersey,United States
Rutherford Park,NULL,New Jersey,United States
Rutland,NULL,Massachusetts,United States
Rye,NULL,New York,United States
Rye Brook,NULL,New York,United States
Rypin,NULL,NULL,Poland
Sache,NULL,NULL,France
Sacramento,NULL,California,United States
Saddle Mountain,NULL,Oklahoma,United States
Saddle River,NULL,New Jersey,United States
Sag Harbor,NULL,New York,United States
Sagaponack,NULL,New York,United States
Sagetown,NULL,Illinois,United States
Saginaw,NULL,Michigan,United States
Sagua la Grande,NULL,NULL,Cuba
Saigon,NULL,NULL,Vietnam
Saint Augustine,NULL,Florida,United States
Saint Catherine's,NULL,Ontario,Canada
Saint Helena,NULL,California,United States
Saint Paul,NULL,Minnesota,United States
Saint Petersburg,NULL,Florida,United States
Saint-Christoly-de-Medoc,NULL,NULL,France
Saint-Denis-du-Port,NULL,NULL,France
Saint-Gilles-du-Gard,NULL,NULL,France
Saint-Jean-de-Luz,NULL,NULL,France
Saint-Paul-de-Vence,NULL,Alpes-Maritimes,France
Saintes-Maries-de-la-Mer,NULL,NULL,France
Salank,NULL,NULL,Hungary
Salem,NULL,Illinois,United States
Salem,NULL,Massachusetts,United States
Salem,NULL,New York,United States
Salem,NULL,Ohio,United States
Salem,NULL,Oregon,United States
Salem,NULL,Virginia,United States
Salem,Marion,Oregon,United States
Salinas,NULL,California,United States
Salinas,NULL,Kansas,United States
Saline,NULL,Michigan,United States
Salisbury,NULL,Connecticut,United States
Salisbury,NULL,Maryland,United States
Salisbury,NULL,New Hampshire,United States
Salisbury,NULL,North Carolina,United States
Salmon,NULL,Idaho,United States
Salonika,NULL,NULL,Greece
Salt Lake City,NULL,Utah,United States
Saltville,NULL,Virginia,United States
Saluda,NULL,North Carolina,United States
Saluda,NULL,Virginia,United States
Salyersville,NULL,Kentucky,United States
Salzburg,NULL,NULL,Austria
Samer,NULL,NULL,France
San Angelo,NULL,Texas,United States
San Angelo in Vado,NULL,NULL,Italy
San Antonio,NULL,Texas,United States
San Augustine,NULL,Texas,United States
San Bernardino,NULL,California,United States
San Cristobal,NULL,New Mexico,United States
San Diego,NULL,California,NULL
San Diego,NULL,California,United States
San Francisco,NULL,California,NULL
San Francisco,NULL,California,United States
San Fratello,NULL,NULL,Italy
San German,NULL,NULL,Puerto Rico
San Germàn,NULL,NULL,Puerto Rico
San Geronimo,NULL,California,United States
San Giorgio Albanese,NULL,NULL,Italy
San Giovanni,NULL,NULL,Italy
San Ildefonso Pueblo,NULL,New Mexico,United States
San Jose,NULL,California,United States
San Juan,NULL,NULL,Puerto Rico
San Leandro,NULL,California,United States
San Lorenzo,NULL,NULL,Italy
San Luis Obispo,NULL,California,United States
San Marino,NULL,California,United States
San Mateo,NULL,California,United States
San Miguel,NULL,NULL,Mexico
San Miguel de Allende,NULL,NULL,Mexico
San Pablo,NULL,California,United States
San Piero di Careggio,NULL,NULL,Italy
San Pietro di Cadore,NULL,NULL,Italy
San Rafael,NULL,California,United States
San Saba,NULL,Texas,United States
San Salvador,NULL,NULL,El Salvador
Sanbornton,NULL,New Hampshire,United States
Sand Bank,NULL,New York,United States
Sandersville,NULL,Georgia,United States
Sandpoint,NULL,Idaho,United States
Sandusky,NULL,Ohio,United States
Sandwich,NULL,Illinois,United States
Sandwich,NULL,Ontario,Canada
Sandy Hook,NULL,Connecticut,United States
Sandy Spring,NULL,Maryland,United States
Sanger,NULL,California,United States
Sannicandro Garganico,NULL,NULL,Italy
Sanok,NULL,NULL,Austria-Hungary
Sansepolcro,NULL,NULL,Italy
Santa Ana,NULL,California,United States
Santa Barbara,NULL,California,United States
Santa Catarina,NULL,NULL,Mexico
Santa Clara,NULL,California,United States
Santa Cruz,NULL,NULL,NULL
Santa Cruz,NULL,California,NULL
Santa Cruz,NULL,California,United States
Santa Cruz,NULL,New Mexico,United States
Santa Fe,NULL,New Mexico,NULL
Santa Fe,NULL,New Mexico,United States
Santa Fe,Nambe Pueblo,New Mexico,United States
Santa Isabel,NULL,NULL,Puerto Rico
Santa Maria,NULL,California,United States
Santa Monica,NULL,California,NULL
Santa Monica,NULL,California,United States
Santa Paula,NULL,California,United States
Santa Rosa,NULL,California,United States
Sante Fe,NULL,New Mexico,United States
Santiago,NULL,NULL,Chile
Santiago,NULL,NULL,Dominican Republic
Santiago de Chile,NULL,NULL,Chile
Santiago de Compostela,NULL,NULL,Spain
Santiago de los Caballeros,NULL,NULL,Dominican Republic
Santiniketan,NULL,NULL,India
Santo Domingo,NULL,NULL,Dominican Republic
Santo Domingo,Dominican Republic,NULL,NULL
Santo Francisco,NULL,NULL,Dominican Republic
Santurce,NULL,NULL,Puerto Rico
Sao Paulo,NULL,NULL,Brazil
Sapulpa,NULL,Oklahoma,United States
Saragossa,NULL,NULL,Spain
Saranac Lake,NULL,New York,United States
Sarasota,NULL,Florida,United States
Sarasota Springs,NULL,New York,United States
Saratoga,NULL,California,United States
Saratoga,NULL,New York,United States
Saratoga Springs,NULL,New York,NULL
Saratoga Springs,NULL,New York,United States
Sarawak,NULL,NULL,East Malaysia
Saskatoon,NULL,Saskatchewan,Canada
Saugatuck,NULL,Michigan,United States
Saugerties,NULL,New York,United States
Sausalito,NULL,California,United States
Sausalito,Marin County,California,United States
Savannah,NULL,Georgia,United States
Sawyer,NULL,Michigan,United States
Saxtons River,NULL,Vermont,United States
Sayre,NULL,Pennsylvania,United States
Scarborough,NULL,NULL,England
Scarborough,NULL,New York,United States
Scaria,NULL,NULL,Italy
Scarsdale,NULL,New York,United States
Schaerbeek,NULL,NULL,Belgium
Schenectady,NULL,New York,United States
Scherpenberg,NULL,NULL,Belgium
Schloss Rosenau,NULL,NULL,Germany
Schrobenhausen,NULL,NULL,Germany
Schw_bisch GmÙnd,NULL,NULL,Germany
Scituate,NULL,Massachusetts,United States
Scituate,NULL,Rhode Island,United States
Scotch Plains,NULL,New Jersey,United States
Scottsdale,NULL,Arizona,United States
Scottsville,NULL,Kentucky,United States
Scottsville,NULL,New York,United States
Scranton,NULL,Pennsylvania,United States
Sea Cliff,NULL,New York,United States
Searchlight,NULL,Nevada,United States
Searsmont,NULL,Maine,United States
Seattle,NULL,New York,United States
Seattle,NULL,Washington,United States
Sebring,NULL,Ohio,United States
Sedalia,NULL,Missouri,United States
Sedona,NULL,Arizona,United States
Seekonk,NULL,Massachusetts,United States
Sellersville,NULL,Pennsylvania,United States
Selyp,NULL,NULL,Hungary
Semarang,NULL,NULL,Java
Seneca,NULL,Kansas,United States
Seneca Falls,NULL,New York,United States
Sens,NULL,Yonne,France
Seoul,NULL,NULL,Korea
Seoul,NULL,NULL,South Korea
Serina,NULL,NULL,Italy
Setauket,NULL,New York,United States
Seven Hills,NULL,Ohio,United States
Sevierville,NULL,Tennessee,United States
Seville,NULL,NULL,Spain
Sevres,NULL,NULL,France
Sewanee,NULL,Tennessee,United States
Seymour,NULL,Iowa,United States
Shabelsk,NULL,NULL,Russia
Shady,NULL,New York,United States
Shaftsbury,NULL,Vermont,United States
Shaker Heights,NULL,Ohio,United States
Shamokin,NULL,Pennsylvania,United States
Shamrock,NULL,Missouri,United States
Shandaken,NULL,New York,United States
Shanghai,NULL,NULL,China
Sharon,NULL,Connecticut,United States
Sharon,NULL,Massachusetts,United States
Sharon,NULL,Pennsylvania,United States
Shavli,NULL,NULL,Lithuania
Shawnee,NULL,Oklahoma,United States
Shawnee,NULL,Pennsylvania,United States
Shawno,NULL,Wisconsin,United States
Sheboygan Falls,NULL,Wisconsin,United States
Sheffield,NULL,NULL,England
Shelburne Falls,NULL,Massachusetts,United States
Shelbyville,NULL,Illinois,United States
Shelbyville,NULL,Indiana,United States
Shelbyville,NULL,Tennessee,United States
Shelter Island,NULL,New York,United States
Shenandoah,NULL,Iowa,United States
Shenandoah,NULL,Pennsylvania,United States
Sheridan,NULL,Wyoming,United States
Sherman,NULL,Connecticut,United States
Sherman Oaks,NULL,California,United States
Shigaraki,NULL,NULL,Japan
Shikoko Island,NULL,NULL,Japan
Shilova,NULL,NULL,Lithuania
Shinnecock,NULL,New York,United States
Shiprock,NULL,New Mexico,United States
Shirley,NULL,Maine,United States
Shizuoka,NULL,NULL,Japan
Shizuoka City,NULL,NULL,Japan
Shonto,NULL,Arizona,United States
Shonto/Cow Springs,Navajo Nation,Arizona,United States
Shoreline,NULL,Washington,United States
Short Hills,NULL,New Jersey,United States
Showhegan,NULL,Maine,United States
Shreveport,NULL,Louisiana,United States
Sidney,NULL,New York,United States
Siegen,NULL,Westphalia,Germany
Siegless,NULL,Burgenland,Austria
Siena,NULL,NULL,Italy
Sierra Madre,NULL,California,United States
Silao,NULL,Guanajauto,Mexico
Silver Creek,NULL,New York,United States
Silver Creek,NULL,Pennsylvania,United States
Silver Lake,NULL,New Hampshire,United States
Silver Spring,NULL,Maryland,United States
Silver Springs,NULL,California,United States
Silverton,NULL,Colorado,United States
Simferopol,NULL,NULL,Russia
Sinait,NULL,NULL,Philippines
Sing Sing,NULL,New York,United States
Sioux City,NULL,Iowa,United States
Sioux Falls,NULL,South Dakota,United States
Six Mile Run,NULL,Pennsylvania,United States
Skipton,NULL,NULL,England
Skive,NULL,NULL,Denmark
Skokie,NULL,Illinois,United States
Skowhegan,NULL,Maine,United States
Skylight,NULL,Kentucky,United States
Slingerlands,NULL,New York,United States
Slonim,NULL,NULL,Russia
Smithsburg,Washington,Maryland,United States
Smithtown,NULL,New York,United States
Smolensk,NULL,NULL,Russia
Smorgon,NULL,NULL,Russia
Snovsk,NULL,Ukraine,U.S.S.R.
Snowmass Village,NULL,Colorado,United States
Soerabaija,NULL,NULL,Java
Soest,NULL,Westphalia,NULL
Solana Beach,NULL,California,United States
Solebury,NULL,Pennsylvania,United States
Solingen,NULL,NULL,Germany
Somers,NULL,New York,United States
Somerset,NULL,Massachusetts,United States
Somerset,NULL,Nova Scotia,Canada
Somersetshire,NULL,NULL,England
Somerstown,NULL,NULL,England
Somerville,NULL,Massachusetts,United States
Somerville,NULL,New Jersey,United States
Sonneberg,NULL,NULL,Germany
Sonoma,NULL,California,NULL
Sonoma,NULL,California,United States
Sorio,NULL,NULL,Italy
South Amherst,NULL,Massachusetts,United States
South Bend,NULL,Indiana,United States
South Braintree,NULL,Massachusetts,United States
South Brunswick,NULL,New Jersey,United States
South Dartmouth,NULL,Massachusetts,United States
South Dennis,NULL,Massachusetts,United States
South Granville,NULL,New York,United States
South Hadley,NULL,Massachusetts,United States
South Haven,NULL,Michigan,United States
South Kent,NULL,Connecticut,United States
South Manchester,NULL,Connecticut,United States
South Milford,NULL,Massachusetts,United States
South New Berlin,NULL,New York,United States
South Norwalk,NULL,Connecticut,United States
South Nyack,NULL,New York,United States
South Orange,NULL,New Jersey,United States
South Raub,NULL,Indiana,United States
South Salem,NULL,New York,United States
South San Francisco,NULL,California,United States
South San Gabriel,NULL,California,United States
South Shields,NULL,NULL,England
South Stoke,NULL,NULL,England
South Woodstock,NULL,Connecticut,United States
Southampton,NULL,NULL,England
Southampton,NULL,Massachusetts,United States
Southampton,NULL,New York,NULL
Southampton,NULL,New York,United States
