City,County,State,Country
Cornucopia,NULL,Wisconsin,United States
Cornwall,NULL,NULL,England
Cornwall,NULL,New York,United States
Cornwall Bridge,NULL,Connecticut,United States
Cornwall Island,St. Regis Reservation,Ontario,Canada
Cornwall Landing,NULL,New York,United States
Cornwall-on-Hudson,NULL,New York,United States
Corona,NULL,New York,United States
Corona Del Mar,NULL,California,United States
Corpus Christi,NULL,Texas,United States
Corrales,NULL,New Mexico,United States
Correggio,NULL,NULL,Italy
Corry,NULL,Pennsylvania,United States
Corsicana,NULL,Texas,United States
Cortez,NULL,Colorado,United States
Cortland,NULL,New York,United States
Corvallis,NULL,Oregon,United States
Cos Cob,NULL,Connecticut,United States
Costa Mesa,NULL,California,United States
Costa Mesa,Orange,California,NULL
Cotati,NULL,California,United States
Cottage Grove,NULL,Oregon,United States
Cottonwood,NULL,Texas,United States
Council Bluffs,NULL,Iowa,United States
Cour-Cheverny,NULL,Loire-et-Cher,France
Courbevoie,NULL,NULL,France
Courrieres,NULL,NULL,France
Courtland,NULL,Kansas,United States
Courtrai,NULL,NULL,Belgium
Couterne,NULL,NULL,France
Coventry,NULL,NULL,England
Coventry,NULL,Connecticut,United States
Coventry,NULL,New York,United States
Covington,NULL,Georgia,United States
Covington,NULL,Indiana,United States
Covington,NULL,Kentucky,United States
Covington,NULL,Ohio,United States
Cow Springs,NULL,Arizona,United States
Cow Springs,Navajo Nation,Arizona,United States
Cowgill,NULL,Missouri,United States
Coxsackie,NULL,New York,United States
Coytesville,NULL,New Jersey,United States
Cozad,NULL,Nebraska,United States
Cragsmoor,NULL,New York,United States
Craiova,NULL,NULL,Romania
Crandon,NULL,Wisconsin,United States
Cranston,NULL,Rhode Island,United States
Craryville,NULL,New York,United States
Crawford Notch,NULL,New Hampshire,United States
Crawfordsville,NULL,Indiana,United States
Cresco,NULL,Iowa,United States
Cresco,NULL,Pennsylvania,United States
Creswick,NULL,Victoria,Australia
Cripple Creek,NULL,Colorado,United States
Crisfield,NULL,Maryland,United States
Crockett,NULL,Texas,United States
Croisic,NULL,NULL,France
Cross Canyon,NULL,Arizona,United States
Cross River,NULL,New York,United States
Croton Falls,NULL,New York,United States
Croton-on-Hudson,NULL,New York,United States
Croydon,NULL,NULL,England
Crystal Springs,NULL,Mississippi,United States
Cub Run,NULL,Kentucky,United States
Cuernavaca,NULL,NULL,Mexico
Cults,NULL,NULL,Scotland
Culver City,NULL,California,United States
Cussy-en-Morvan,NULL,NULL,France
Cuthbert,NULL,Georgia,United States
Cynwyd,NULL,Pennsylvania,United States
Cysoing,NULL,NULL,France
Cythera,NULL,NULL,Greece
Czernowitz,NULL,NULL,Austria-Hungary
Dale City,NULL,California,United States
Dallas,NULL,Georgia,United States
Dallas,NULL,Texas,United States
Dalton-le-Furness,NULL,NULL,England
Damariscotta,NULL,Maine,United States
Damvillers,NULL,NULL,France
Dana Point,NULL,California,United States
Danbury,NULL,Connecticut,United States
Danbury,NULL,New Hampshire,United States
Danby,NULL,Vermont,United States
Danielson,NULL,Connecticut,United States
Danville,NULL,Kentucky,United States
Danville,NULL,Vermont,United States
Danville,NULL,Virginia,United States
Danzig,NULL,NULL,Germany
Danzig,NULL,NULL,Poland
Dare,NULL,Virginia,United States
Darien,NULL,Connecticut,United States
Davenport,NULL,Iowa,United States
David City,NULL,Nebraska,United States
Davidson,NULL,North Carolina,United States
Dawson,NULL,New Mexico,United States
Daysville,NULL,Illinois,United States
Dayton,NULL,Kentucky,United States
Dayton,NULL,Ohio,United States
Deadwood,NULL,South Dakota,United States
Dearborn,NULL,Michigan,United States
Debrecen,NULL,NULL,Hungary
Decatur,NULL,Georgia,United States
Decatur,NULL,Illinois,United States
Decatur,NULL,Indiana,United States
Dedham,NULL,Massachusetts,United States
Deep Water Point,NULL,Maryland,United States
Deer Isle,NULL,Maine,United States
Deer Lodge,NULL,Montana,United States
Deerfield,NULL,Massachusetts,United States
Deering,NULL,New Hampshire,United States
Defiance,NULL,Ohio,United States
Del Mar,NULL,California,United States
Del Monte,NULL,California,United States
Del Rio,NULL,Texas,United States
Delafield,NULL,Wisconsin,United States
DeLand,NULL,Florida,United States
Delaplane,NULL,Virginia,United States
Delavan,NULL,Wisconsin,United States
Delaware,NULL,Ohio,United States
Delft,NULL,NULL,Netherlands
Delhi,NULL,New York,United States
Dello,NULL,NULL,Italy
Delphos,NULL,Iowa,United States
Delray Beach,NULL,Florida,NULL
Delray Beach,NULL,Florida,United States
Deltaville,NULL,Virginia,United States
Demarest,NULL,New Jersey,United States
Deniston,NULL,Kentucky,United States
Dennenlohe,NULL,NULL,Germany
Denton,NULL,Texas,United States
Denver,NULL,Colorado,United States
Denville,NULL,New Jersey,United States
Derby,NULL,NULL,England
Derby,NULL,Connecticut,United States
Derby,NULL,Vermont,United States
Des Moines,NULL,Iowa,United States
DeSoto,NULL,Illinois,United States
Dessau,NULL,NULL,Germany
Detroit,NULL,Michigan,United States
Deventer,NULL,NULL,Netherlands
Devils Lake,NULL,North Dakota,United States
Devon,NULL,NULL,England
DeWitt,NULL,Iowa,United States
Dickson,NULL,Tennessee,United States
Dieuze,NULL,NULL,France
Dijon,NULL,NULL,France
Dijon,NULL,Cote d'Or,France
Dijon,NULL,Cote-d'Or,France
Dillingen,NULL,NULL,Germany
Dingman's Ferry,NULL,Pennsylvania,United States
Dinuba,NULL,California,United States
District of Columbia,NULL,Washington,United States
Dixfield,NULL,Maine,United States
Dixiana,NULL,South Carolina,United States
Dixon,NULL,New Mexico,United States
Dobbs Ferry,NULL,New York,United States
Dodd's City,NULL,Texas,United States
Dodge City,NULL,Kansas,NULL
Dodgeville,NULL,Wisconsin,United States
Doha,NULL,NULL,Qatar
Dokkum,NULL,Friesland,Netherlands
Domme,NULL,Dordogne,France
Doncaster,NULL,NULL,England
Donovan,NULL,Illinois,United States
Dorchester,NULL,Massachusetts,United States
Dordrecht,NULL,NULL,Holland
Dordrecht,NULL,NULL,Netherlands
Dorset,NULL,Vermont,United States
Doster,NULL,Michigan,United States
Dothan,NULL,Alabama,United States
Douglas,NULL,NULL,England
Douglaston,NULL,New York,United States
Doullens,NULL,NULL,France
Dover,NULL,New Jersey,United States
Dover,NULL,Ohio,United States
Dover Plains,NULL,New York,United States
Dover Township,Lenawee County,Michigan,United States
Doylestown,NULL,Pennsylvania,United States
Dracut,NULL,Massachusetts,United States
Dresden,NULL,NULL,Germany
Dresden,NULL,New York,United States
Dresher,NULL,Pennsylvania,United States
Dubbeln,NULL,NULL,Latvia
Dublin,NULL,NULL,Ireland
Dublin,NULL,New Hampshire,United States
Dublin,NULL,Pennsylvania,United States
Dubuque,NULL,Iowa,United States
Duluth,NULL,Minnesota,United States
Dummerston,NULL,Vermont,United States
Dunavant,NULL,Kansas,United States
Dunedin,NULL,Florida,United States
Dunmanway,NULL,NULL,Ireland
Dunquerque,NULL,NULL,France
Dunraven,NULL,New York,United States
Dunseith,NULL,North Dakota,United States
Duren,NULL,NULL,Germany
Durham,NULL,NULL,England
Durham,NULL,New Hampshire,United States
Durham,NULL,North Carolina,United States
Dusseldorf,NULL,NULL,Germany
Duxbury,NULL,Massachusetts,United States
Dvinsk,NULL,NULL,Russia
Dwight,NULL,Nebraska,United States
Dybbol,NULL,North Slesvig,Denmark
Dyersburg,NULL,Tennessee,United States
Eagle Bridge,NULL,New York,United States
Eagle Rock,NULL,California,United States
Eagle Shute,NULL,Louisiana,United States
East Bergholt,NULL,NULL,England
East Chatham,NULL,New York,United States
East Chicago,NULL,Indiana,United States
East Dean,NULL,NULL,England
East Feliciana,NULL,Louisiana,United States
East Gloucester,NULL,Massachusetts,United States
East Haddam,NULL,Connecticut,United States
East Hampton,NULL,Connecticut,United States
East Hampton,NULL,New York,United States
East Lansing,NULL,Michigan,United States
East Liberty,NULL,Pennsylvania,United States
East Liverpool,NULL,Ohio,United States
East London,NULL,NULL,South Africa
East Los Angeles,NULL,California,United States
East Lothian,NULL,NULL,United Kingdom
East Meadow,NULL,New York,United States
East Nassau,NULL,New York,United States
East Orange,NULL,New Jersey,United States
East Patchogue,NULL,New York,United States
East Sudbury,NULL,Massachusetts,United States
East Wallingford,NULL,Vermont,United States
Easthampton,NULL,Massachusetts,United States
Easthampton,NULL,New York,United States
Easton,NULL,Connecticut,United States
Easton,NULL,Maryland,United States
Easton,NULL,Pennsylvania,United States
Eatonton,NULL,Georgia,United States
Eau Claire,NULL,Wisconsin,United States
Ebenezer,Pike County,Alabama,United States
Eckwersheim,NULL,NULL,Alsace
Ecouen,NULL,NULL,France
Eddyville,NULL,Iowa,United States
Eden,NULL,Mississippi,United States
Edgartown,NULL,Massachusetts,United States
Edgecomb,NULL,Maine,United States
Edinboro,NULL,Pennsylvania,United States
Edinburg,NULL,Indiana,United States
Edinburgh,NULL,NULL,Scotland
Edmonds,NULL,Washington,United States
Edo,NULL,NULL,Japan
Edwardsville,NULL,Illinois,United States
Egmond,NULL,NULL,Netherlands
Egmond-aan-Zee,NULL,NULL,Netherlands
Egypt Hill,NULL,Mississippi,United States
Ekaterinislav,NULL,NULL,Russia
Ekaterinoslav,NULL,Ukraine,Russia
El Cajon,NULL,California,United States
El Cerrito,NULL,California,United States
El Paso,NULL,Illinois,United States
El Paso,NULL,Texas,United States
El Rito,NULL,New Mexico,United States
Elberfeld,NULL,NULL,Germany
Elche,NULL,NULL,Spain
Eldorado,NULL,Kansas,United States
Electric City,NULL,Washington,United States
Elgin,NULL,Illinois,United States
Elida,NULL,Ohio,United States
Eliot,NULL,Maine,United States
Elisabetgrad,NULL,NULL,Russia
Elizabeth,NULL,New Jersey,United States
Elizabethgrad,NULL,NULL,Russia
Elizabethtown,NULL,New York,United States
Elkhart,NULL,Indiana,United States
Elkhorn,NULL,Wisconsin,United States
Elkins Park,NULL,Pennsylvania,United States
Elkridge,NULL,Maryland,United States
Ellensburg,NULL,Washington,United States
Ellenville,NULL,New York,United States
Ellicottville,NULL,New York,United States
Elliston,NULL,Virginia,United States
Elloree,NULL,South Carolina,United States
Ellsworth,NULL,Maine,United States
Ellwood City,NULL,Pennsylvania,United States
Elmhurst,NULL,New York,United States
Elmira,NULL,New York,United States
Elmwood,NULL,Illinois,United States
Elmwood Park,NULL,Illinois,United States
Elyria,NULL,Ohio,United States
Emden,NULL,NULL,Germany
Emelle,NULL,Alabama,United States
Emeryville,NULL,California,United States
Emporia,NULL,Kansas,United States
Encinitas,NULL,California,United States
Endicott,NULL,New York,United States
Endwell,NULL,New York,United States
Engayrac,NULL,NULL,France
Engelberg,NULL,NULL,Switzerland
Englewood,NULL,Colorado,United States
Englewood,NULL,New Jersey,United States
Enkhuysen,NULL,NULL,Netherlands
Enniscorthy,NULL,County Wexford,Ireland
Enosburg,NULL,Vermont,United States
Enosburg Falls,NULL,Vermont,United States
Entrien,NULL,NULL,Ireland
Epinay,NULL,NULL,France
Epping,NULL,NULL,England
Epworth,NULL,North Carolina,United States
Erie,NULL,Pennsylvania,United States
Erin,NULL,Tennessee,United States
Erskineville,NULL,New South Wales,Australia
Erzurum,NULL,NULL,Turkey
Escanaba,NULL,Michigan,United States
Escheviller,NULL,NULL,France
Eschwege,NULL,NULL,Germany
Escondido,NULL,California,United States
Espa_ola,NULL,New Mexico,United States
Essen,NULL,NULL,Germany
Essex,NULL,NULL,England
Essex,NULL,Connecticut,United States
Essex,NULL,New York,United States
Estes Park,NULL,Colorado,United States
Estherville,NULL,Iowa,United States
Estline,NULL,South Dakota,United States
Etruria,NULL,NULL,England
Euclid,NULL,Ohio,United States
Eufaula,NULL,Alabama,United States
Eugene,NULL,Oregon,United States
Eupora,NULL,Mississippi,United States
Eurburg,NULL,NULL,Lithuania
Eureka,NULL,California,United States
Eureka,NULL,Montana,United States
Eureka Springs,NULL,Arkansas,NULL
Eustis,NULL,Florida,United States
Eutingen,NULL,NULL,Germany
Evans Creek,NULL,Ohio,United States
Evanston,NULL,Illinois,NULL
Evanston,NULL,Illinois,United States
Evansville,NULL,Indiana,United States
Evansville,NULL,Wisconsin,United States
Everett,NULL,Massachusetts,United States
Everett,NULL,Pennsylvania,United States
Everett,NULL,Washington,United States
Evergreen Park,NULL,Illinois,United States
Ewa,NULL,Hawaii,United States
Excelsior Springs,NULL,Missouri,United States
Exeter,NULL,NULL,England
Exeter,NULL,New Hampshire,United States
Exmouth,NULL,NULL,England
Eydkuhnen,NULL,NULL,Germany
Eze,NULL,NULL,France
Fabius,NULL,New York,United States
Faido,NULL,NULL,Switzerland
Fairborn,NULL,Ohio,United States
Fairburn,NULL,Georgia,United States
Fairfax,NULL,California,United States
Fairfax,NULL,Virginia,United States
Fairfield,NULL,Connecticut,United States
Fairfield,NULL,Washington,United States
Fairhaven,NULL,Massachusetts,United States
Fairmont City,NULL,Pennsylvania,United States
Fairport,NULL,New York,United States
Fairport,NULL,Virginia,United States
Fall River,NULL,Massachusetts,United States
Falling Waters,NULL,West Virginia,United States
Falls Church,NULL,Virginia,United States
Falls City,NULL,Nebraska,United States
Falls Village,NULL,Connecticut,United States
Falmouth,NULL,Maine,NULL
Falmouth,NULL,Massachusetts,United States
Falmouth,NULL,Virginia,United States
Falun,NULL,NULL,Sweden
Far Rockaway,NULL,New York,United States
Farenza,NULL,NULL,Italy
Fargo,NULL,North Dakota,United States
Farmington,NULL,New Mexico,United States
Farmington Hills,NULL,Michigan,United States
Farnsborough,NULL,NULL,England
Fatehpur,NULL,NULL,India
Fayal,NULL,NULL,Azores
Fayette,NULL,Alabama,United States
Fayette,NULL,Mississippi,United States
Fayette,NULL,Missouri,United States
Fayetteville,NULL,Georgia,United States
Fayetteville,NULL,New York,United States
Feluy-Ardennes,NULL,NULL,Belgium
Fennville,NULL,Michigan,United States
Ferndale,NULL,Michigan,United States
Fernie,NULL,British Columbia,Canada
Ferrara,NULL,NULL,NULL
Ferriday,NULL,Louisiana,United States
Ferrum,NULL,Virginia,United States
Fibbiano,NULL,NULL,Italy
Fincastle,NULL,Virginia,United States
Findlay,NULL,Ohio,United States
Finleyville,NULL,Pennsylvania,United States
Fire Island,NULL,New York,NULL
Fishers Island,NULL,New York,United States
Fitchburg,NULL,Massachusetts,United States
Fitzgerald,NULL,Georgia,United States
Fitzwilliam,NULL,New Hampshire,United States
Flagstaff,NULL,Arizona,United States
Flemingville,NULL,New York,United States
Flicksville,NULL,Pennsylvania,United States
Flint,NULL,Michigan,United States
Florence,NULL,NULL,Italy
Florence,NULL,Alabama,United States
Florence,NULL,South Carolina,United States
Florence,NULL,Tuscany,Italy
Florham Park,NULL,New Jersey,United States
Flushing,NULL,New York,United States
Fontainebleau,NULL,NULL,France
Fontana,NULL,California,United States
Fontenay-aux-Roses,NULL,NULL,France
Fordham,NULL,New York,United States
Forest Hills,NULL,New York,United States
Forestville,NULL,Wisconsin,United States
Forney,NULL,Texas,United States
Forrest,NULL,Mississippi,United States
Fort Atkinson,NULL,Wisconsin,United States
Fort Belvoir,NULL,Virginia,United States
Fort Bragg,NULL,California,United States
Fort Campbell,NULL,Kentucky,United States
Fort Collins,NULL,Colorado,United States
Fort Covington,NULL,New York,United States
Fort Cumberland,NULL,Maryland,United States
Fort Defiance,NULL,Arizona,United States
Fort Des Moines,NULL,Iowa,United States
Fort Dodge,NULL,Iowa,United States
Fort Erie,NULL,Ontario,Canada
Fort Gibson,NULL,Oklahoma,United States
Fort Lauderdale,NULL,Florida,United States
Fort Leavenworth,NULL,Kansas,United States
Fort Lee,NULL,New Jersey,United States
Fort Leonard Wood,NULL,Missouri,United States
Fort Madison,NULL,Iowa,United States
Fort Monmouth,NULL,New Jersey,United States
Fort Morgan,NULL,Colorado,United States
Fort Myers,NULL,Florida,United States
Fort Pierce,NULL,Florida,United States
Fort Scott,NULL,Kansas,United States
Fort Smith,NULL,Arkansas,United States
Fort Washington,NULL,Pennsylvania,United States
Fort Wayne,NULL,Indiana,United States
Fort Worth,NULL,Texas,United States
Fort-de-France,NULL,NULL,Martinique
Forti di Marmi,NULL,NULL,Italy
Fourquevoux,NULL,Haute-Garonne,France
Fox Chase,NULL,Pennsylvania,United States
Fox Lake,NULL,Illinois,United States
Fox Valley,NULL,Oregon,United States
Foxboro,NULL,Massachusetts,United States
Frackville,NULL,Pennsylvania,United States
Framingham,NULL,Massachusetts,United States
Framington Center,NULL,Massachusetts,United States
Francestown,NULL,New Hampshire,United States
Frankenstein,NULL,NULL,Germany
Frankfort,NULL,Indiana,United States
Frankfort,NULL,Kentucky,United States
Frankfurt,NULL,NULL,Germany
Franklin,NULL,Louisiana,United States
Franklin,NULL,Massachusetts,United States
Franklin,NULL,New Hampshire,United States
Franklin,NULL,Ohio,United States
Franklin,NULL,Pennsylvania,United States
Franklin,NULL,Tennessee,United States
Fraser,NULL,Colorado,United States
Fraser,NULL,Michigan,United States
Frederick,NULL,Maryland,United States
Fredericksburg,NULL,Texas,United States
Fredericksburg,NULL,Virginia,United States
Fredricksburg,NULL,Virginia,United States
Free Union,NULL,Virginia,United States
Freeport,NULL,Illinois,United States
Freeport,NULL,Maine,United States
Freiburg,NULL,NULL,Germany
Fremont,NULL,Nebraska,United States
French Camp,NULL,California,United States
Fresnillo,NULL,NULL,Mexico
Fresno,NULL,California,United States
Frome,NULL,NULL,England
Frostburg,NULL,Maryland,United States
Fruitland,NULL,New Mexico,United States
Fruitvale,NULL,California,United States
Fryeburg,NULL,Maine,United States
Ft. Lauderdale,NULL,Florida,United States
Ft. Still,NULL,Oklahoma,United States
Ft. Worth,NULL,Texas,United States
Fuente de Cantos,NULL,NULL,Spain
Fuenterrabia,NULL,Guipuzcoa,Spain
Fukuiken,NULL,NULL,Japan
Fulton,NULL,Missouri,United States
Furth,NULL,NULL,Germany
Gabrovo,NULL,NULL,Bulgaria
Gaeta,NULL,NULL,Italy
Gainesville,NULL,Florida,United States
Galati,NULL,NULL,Romania
Galena,NULL,Illinois,United States
Galena,NULL,Kansas,United States
Galesburg,NULL,Illinois,United States
Galich,NULL,NULL,Russia
Galisteo,NULL,New Mexico,United States
Gallegos Canyon,NULL,New Mexico,United States
Gallegos Wash,NULL,New Mexico,United States
Gallipolis,NULL,Ohio,United States
Gallup,NULL,New Mexico,United States
Gallup,Navajo Reservation,New Mexico,United States
Galva,NULL,Iowa,United States
Galveston,NULL,Texas,United States
Galway,NULL,NULL,Ireland
Gambier,NULL,Ohio,United States
Garden Grove,NULL,California,United States
Garden Valley,NULL,Idaho,United States
Gardenville,NULL,New York,United States
Gardiner,NULL,Maine,United States
Garfield Heights,NULL,Ohio,United States
Garland,NULL,Utah,United States
Garnes,NULL,NULL,France
Garnett,NULL,Kansas,United States
Garran,NULL,NULL,Australia
Garrett Park,NULL,Maryland,United States
Garrison,NULL,New York,United States
Garwin,NULL,Iowa,United States
Gary,NULL,Indiana,United States
Garysburg,NULL,North Carolina,United States
Gastonia,NULL,North Carolina,United States
Gatlinburg,NULL,Tennessee,United States
Gaylorsville,NULL,Connecticut,United States
Gelnhausen,NULL,NULL,Germany
Genesee,NULL,Idaho,United States
Geneseo,NULL,Illinois,United States
Geneseo,NULL,New York,United States
Geneva,NULL,NULL,Switzerland
Geneva,NULL,Illinois,United States
Geneva,NULL,New York,United States
Geneva,NULL,Ohio,United States
Genoa,NULL,NULL,Italy
Gentofte,NULL,NULL,Denmark
Georgetown,NULL,California,United States
Georgetown,NULL,Colorado,United States
Georgetown,NULL,Connecticut,United States
Georgetown,NULL,District of Columbia,United States
Georgetown,NULL,South Carolina,United States
Georgetown,NULL,Texas,United States
Georgetown Island,NULL,Maine,United States
Germania,NULL,Texas,United States
Germantown,NULL,Pennsylvania,United States
Ghent,NULL,NULL,Belgium
Gibsonia,NULL,Pennsylvania,United States
Gif-sur-Yvette,NULL,Essonne,France
Gifu Prefecture,NULL,NULL,Japan
Gifuken,NULL,NULL,Japan
Gig Harbor,NULL,Washington,United States
Gilman,NULL,Colorado,United States
Gilroy,NULL,California,United States
Ginneken,NULL,NULL,Netherlands
Giverny,NULL,NULL,France
Giverny-par-Vernon,NULL,NULL,France
Givet,NULL,NULL,France
Glade Spring,NULL,Virginia,United States
Glade Springs,NULL,Virginia,United States
Glasgow,NULL,NULL,Scotland
Glatz,NULL,NULL,Prussia
Gleason,NULL,Tennessee,United States
Glen Alta,NULL,Georgia,United States
Glen Cove,NULL,New York,United States
Glen Echo,NULL,Maryland,United States
Glen Ellyn,NULL,Illinois,United States
Glen Head,NULL,New York,United States
Glen Ridge,NULL,New Jersey,United States
Glencoe,NULL,Illinois,United States
Glendale,NULL,California,United States
Glendora,NULL,California,United States
Glenelg,NULL,Maryland,United States
Glennie,NULL,Michigan,United States
Glens Falls,NULL,New York,United States
Glenview,NULL,Illinois,United States
Glenwood Landing,NULL,New York,United States
Glenwood Springs,NULL,Colorado,United States
Globe,NULL,Arizona,United States
Gloster,NULL,Mississippi,United States
Gloucester,NULL,NULL,England
Gloucester,NULL,Massachusetts,United States
Gloucester,NULL,Virginia,United States
Gloucester,Essex,Massachusetts,United States
Gloucestershire,NULL,NULL,England
Gloversville,NULL,New York,United States
Gnieveshev,NULL,NULL,Poland
Goderich,NULL,Ontario,Canada
Goffstown,NULL,New Hampshire,United States
Gold Beach,NULL,Oregon,United States
Gonzales,NULL,Louisiana,United States
Goose Rocks Beach,NULL,Maine,United States
Goregoan,NULL,NULL,India
Gorod Novo Grudock,NULL,NULL,Russia
Goshen,NULL,Indiana,United States
Gotha,NULL,NULL,Germany
Gothenburg,NULL,NULL,Sweden
Gothland,NULL,NULL,Sweden
Gouverneur,NULL,New York,United States
Gowanda,NULL,New York,United States
Grafton,NULL,Massachusetts,United States
Grainville,NULL,Ohio,United States
Granby,NULL,Connecticut,United States
Grand Coteau,NULL,Louisiana,United States
Grand Forks,NULL,North Dakota,United States
Grand Haven,NULL,Michigan,United States
Grand Island,NULL,Nebraska,United States
Grand Marais,NULL,Minnesota,United States
Grand Monan,NULL,Maine,United States
Grand Passage,NULL,Nova Scotia,Canada
Grand Rapids,NULL,Michigan,United States
Grand Rapids,NULL,Ohio,United States
Grandin,NULL,North Dakota,United States
Grandview-on-Hudson,NULL,New York,United States
Grant's Pass,NULL,Oregon,United States
Grantsville,NULL,Maryland,United States
Grantwood,NULL,New Jersey,United States
Grass Valley,NULL,California,United States
Graylord,NULL,Minnesota,United States
Great Barrington,NULL,Massachusetts,United States
Great Bend,NULL,Kansas,United States
Great Falls,NULL,Montana,United States
Great Falls,NULL,Virginia,United States
Great Neck,NULL,New York,United States
Great Spruce Head,NULL,Maine,United States
Green Bay,NULL,Wisconsin,United States
Green Cove Spring,NULL,Florida,United States
Green Valley,NULL,Arizona,United States
Greenbrae,NULL,California,United States
Greenbush,NULL,New York,United States
Greencastle,NULL,Indiana,United States
Greencastle,NULL,Pennsylvania,United States
Greenfield,NULL,Illinois,United States
Greenfield,NULL,Massachusetts,United States
Greenfield,NULL,New York,United States
Greenlaw,NULL,NULL,Scotland
Greenport,NULL,New York,United States
Greens Farms,NULL,Connecticut,United States
Greensboro,NULL,Alabama,United States
Greensboro,NULL,Georgia,United States
Greensboro,NULL,North Carolina,United States
Greensburg,NULL,Pennsylvania,United States
Greenville,NULL,Mississippi,United States
Greenville,NULL,North Carolina,NULL
Greenville,NULL,North Carolina,United States
Greenville,NULL,South Carolina,United States
Greenville,NULL,Texas,United States
Greenwich,NULL,NULL,England
Greenwich,NULL,Connecticut,United States
Greenwich,NULL,New York,United States
Griffin,NULL,Georgia,United States
Grinstad,NULL,NULL,Sweden
Grisons,NULL,NULL,Switzerland
Grodno,NULL,NULL,Lithuania
Groningen,NULL,NULL,Netherlands
Grosse Pointe,NULL,Michigan,United States
Grover Beach,NULL,California,United States
Gruchy,NULL,NULL,France
Guadalajara,NULL,NULL,Mexico
Guadalajara,NULL,NULL,Spain
Gualala,NULL,California,United States
Guanajuato,NULL,NULL,Mexico
Guatemala City,NULL,NULL,Guatemala
Guayaquil,NULL,NULL,Ecuador
Guebviller,NULL,NULL,France
Guelph,NULL,Ontario,Canada
Guerneville,NULL,California,United States
Guiche,NULL,NULL,France
Guilford,NULL,Connecticut,United States
Gunnison,NULL,Colorado,United States
Guns,NULL,NULL,Austria-Hungary
Guthrie,NULL,Oklahoma,United States
Haag,NULL,NULL,Austria
Haarlem,NULL,NULL,Netherlands
Hacienda Heights,NULL,California,United States
Hackensack,NULL,New Jersey,United States
Hacker Valley,NULL,West Virginia,United States
Hackettstown,NULL,New Jersey,United States
